StraightED,NonStraightED
0.048479,0.051604
0.046031,0.040124
0.046075,0.059965
0.052312,0.051302
0.05345,0.065085
0.043562,0.034886
0.042779,0.056232
0.064308,0.070832
0.044481,0.055168
0.045115,0.08593
0.059485,0.034421
0.061788,0.039632
0.036531,0.064736
0.030125,0.089117
0.048008,0.054166
0.060971,0.037167
0.059042,0.038546
0.077254,0.025417
0.047877,0.057068
0.046102,0.0542
0.047235,0.052281
0.044419,0.051559
0.038377,0.076289
0.049448,0.076084
0.054244,0.068191
0.040996,0.098375
0.056573,0.055046
0.054387,0.050666
0.038937,0.053594
0.046517,0.041234
0.062021,0.046539
0.059333,0.074944
0.060623,0.057123
0.039808,0.068969
0.072665,0.03548
0.058729,0.07108
0.034142,0.074597
0.072329,0.024747
0.076875,0.036781
0.067104,0.030673
0.052031,0.0527
0.047904,0.063532
0.021483,0.091443
0.049817,0.053926
0.050685,0.070103
0.04084,0.057872
0.044088,0.072532
0.046658,0.067197
0.054625,0.07146
0.08595,0.029605
0.077352,0.037557
0.043527,0.072154
0.061281,0.079142
0.049873,0.073631
0.040094,0.074124
0.063687,0.055045
0.065062,0.039981
0.052927,0.06059
0.062833,0.073475
0.043725,0.11146
0.055877,0.040873
0.047702,0.05592
0.05939,0.04743
0.046137,0.048103
0.043267,0.069449
0.04045,0.076486
0.040346,0.062516
0.044173,0.065798
0.041592,0.049498
0.043235,0.059921
0.058715,0.021168
0.031252,0.081734
0.06664,0.063599
0.038102,0.078351
0.058642,0.064673
0.041808,0.067472
0.05161,0.079029
0.042669,0.07368
0.072223,0.041089
0.047594,0.043441
0.05411,0.058065
0.051227,0.046361
0.059283,0.053529
0.061369,0.03882
0.043398,0.055914
0.059737,0.035011
0.066052,0.035551
0.080944,0.023563
0.049212,0.056345
0.046817,0.094723
0.059727,0.049842
0.043931,0.067669
0.048283,0.0602
0.039544,0.055956
0.049129,0.083915
0.067623,0.037575
0.04215,0.077326
0.042696,0.075084
0.054985,0.053173
0.055756,0.032232
0.049675,0.061934
0.073379,0.042364
0.031529,0.080801
0.053485,0.073124
0.046702,0.055715
0.038265,0.081044
0.093235,0.039474
0.071115,0.080769
0.057406,0.052565
0.038696,0.083899
0.04815,0.064632
0.059394,0.066503
0.03864,0.073244
0.036704,0.080218
0.07974,0.028403
0.060927,0.099142
0.051602,0.040792
0.05485,0.059206
0.044317,0.046628
0.068913,0.037464
0.068888,0.023184
0.061035,0.043164
0.095896,0.020468
0.10209,0.017558
0.050171,0.081055
0.056304,0.033601
0.078685,0.042472
0.053248,0.03793
0.069854,0.03771
0.072354,0.017902
0.058654,0.032273
0.08445,0.027753
0.059654,0.027809
0.076623,0.018187
0.054473,0.043205
0.0609,0.037963
0.050567,0.057361
0.061256,0.041622
0.066513,0.040758
0.062704,0.053696
0.053246,0.062504
0.036492,0.065854
0.062288,0.026801
0.049587,0.052114
0.068683,0.064328
0.060404,0.039757
0.047769,0.075516
0.042654,0.07954
0.034325,0.087331
0.05884,0.049677
0.047298,0.060586
0.049923,0.048166
0.055152,0.049556
0.032421,0.073919
0.060344,0.074841
0.042844,0.062631
0.048069,0.075299
0.057848,0.065625
0.052173,0.074782
0.060015,0.1048
0.039717,0.079528
0.045844,0.09231
0.067969,0.041372
0.093146,0.021569
0.065248,0.029941
0.062508,0.018294
0.061421,0.058526
0.065412,0.039702
0.071398,0.031613
0.066442,0.040632
0.068902,0.031835
0.059735,0.046477
0.091494,0.033352
0.059279,0.066976
0.058069,0.058082
0.068998,0.036417
0.055721,0.065071
0.050367,0.055324
0.045725,0.061834
0.047617,0.062114
0.060369,0.059639
0.050794,0.061142
0.057044,0.046791
0.07526,0.022917
0.06641,0.024807
0.05055,0.061021
0.045173,0.05925
0.042304,0.051881
0.049142,0.062556
0.033279,0.091702
0.048227,0.068549
0.0543,0.056421
0.049206,0.066685
0.043473,0.076627
0.033815,0.0918
0.055238,0.051735
0.061344,0.061324
0.060092,0.086078
0.046542,0.059592
0.080204,0.031417
0.054931,0.032519
0.075917,0.032978
0.053646,0.059275
0.063502,0.050556
0.062212,0.076046
0.057204,0.070042
0.047283,0.051265
0.055102,0.074225
0.05394,0.041881
0.03126,0.074951
0.048644,0.059464
0.050563,0.054265
0.049985,0.057697
0.069221,0.03397
0.031254,0.080029
0.054256,0.066032
0.042044,0.06926
0.085138,0.020596
0.02996,0.095627
0.074481,0.061214
0.096373,0.025997
0.059679,0.044257
0.057569,0.054572
0.028104,0.077378
0.058756,0.044768
0.038496,0.057018
0.074144,0.024436
0.063798,0.038294
0.084406,0.028262
0.069667,0.032901
0.047823,0.067482
0.049233,0.059134
0.061017,0.061286
0.055356,0.054418
0.071004,0.059568
0.056425,0.058763
0.036963,0.093145
0.035673,0.086398
0.04369,0.083361
0.045613,0.082931
0.0042188,0.070978
0.0039792,0.072227
0.0033229,0.073664
0.0053708,0.074096
0.0037146,0.070196
0.0045479,0.077465
