StraightED ,NonStraightED
0.054423,0.048003
0.12272,0.014021
0.06739,0.028161
0.10208,0.017922
0.074769,0.029768
0.067775,0.10203
0.062717,0.062153
0.06956,0.051687
0.061629,0.050425
0.043817,0.050644
0.084875,0.015133
0.046075,0.056761
0.046579,0.059856
0.10146,0.0075615
0.041537,0.059648
0.084538,0.014383
0.068833,0.032266
0.073775,0.12468
0.065944,0.075627
0.074956,0.014812
0.084179,0.044959
0.061698,0.085291
0.0814,0.06639
0.055994,0.098933
0.057121,0.079363
0.048306,0.048809
0.062925,0.074128
0.060675,0.047434
0.075515,0.029742
0.07436,0.037476
0.082363,0.070928
0.11007,0.017837
0.091765,0.030971
0.071563,0.051043
0.082483,0.064958
0.076873,0.053467
0.065454,0.069979
0.084296,0.034197
0.10137,0.024765
0.08099,0.023816
0.11269,0.01202
0.046933,0.064624
0.096948,0.007126
0.045288,0.066555
0.067496,0.0524
0.079492,0.052782
0.067735,0.045041
0.058152,0.061135
0.088346,0.032071
0.068808,0.041115
0.12462,0.0054313
0.093238,0.011284
0.067423,0.060435
0.056994,0.080412
0.061871,0.066636
0.12821,0
0.1251,0
0.052654,0.1126
0.076242,0.081585
0.06335,0.075003
0.08206,0.019165
0.066571,0.020736
0.079504,0.059974
0.064896,0.049284
0.074169,0.060415
0.059667,0.062905
0.064815,0.083001
0.073525,0.025302
0.07929,0.059515
0.046956,0.065252
0.073825,0.032984
0.069175,0.034804
0.081185,0.035208
0.043687,0.079875
0.072596,0.099572
0.05004,0.076269
0.080417,0.053617
0.075798,0.042118
0.079992,0.052341
0.063613,0.036858
0.12579,0.023132
0.093279,0.076348
0.0786,0.019136
0.083427,0.021373
0.076533,0.022829
0.13635,0
0.089598,0.0063
0.071244,0.050397
0.064146,0.06101
0.06474,0.041824
0.085362,0.061416
0.068669,0.054306
0.062225,0.040496
0.088313,0.056767
0.089088,0.024452
0.083781,0.043639
0.052133,0.074705
0.064804,0.036172
0.10551,0.016993
0.080783,0.03016
0.087242,0.031298
0.074279,0.025403
0.081608,0.056975
0.071354,0.043689
0.075856,0.05865
0.069285,0.062954
0.0821,0.023306
0.093258,0.042494
0.067871,0.037364
0.062535,0.04662
0.057608,0.069205
0.067325,0.055673
0.064877,0.06447
0.0838,0.083923
0.092331,0.041536
0.074273,0.032567
0.081712,0.019689
0.088067,0.024344
0.084048,0.011499
0.080187,0.022382
0.1102,0.0098542
0.07406,0.054998
0.070231,0.031724
0.078902,0.02314
0.048948,0.071942
0.10992,0.0092625
0.081808,0.010007
0.080023,0.01183
0.14315,0.014603
0.12967,0
0.14265,0.00016875
0.13208,0
0.10911,0.023234
0.077558,0.023742
0.082906,0.012686
0.081923,0.015927
0.081763,0.028833
0.052065,0.057907
0.06609,0.052029
0.095277,0.022886
0.097017,0.044802
0.061671,0.038851
0.052342,0.053505
0.08531,0.068811
0.1182,0.0069344
0.098979,0.044668
0.066908,0.083314
0.10912,0.026036
0.049165,0.092735
0.079463,0.021306
0.077817,0.045917
0.097929,0.015705
0.080029,0.033679
0.078156,0.030248
0.11062,0.055625
0.074877,0.038702
0.09034,0.065781
0.047825,0.074591
0.082808,0.0635
0.088579,0.048377
0.083919,0.064651
0.053258,0.052311
0.069656,0.058517
0.066998,0.026878
0.10735,0.014056
0.062121,0.062778
0.069698,0.037051
0.084373,0.047962
0.083579,0.021142
0.12456,0.004775
0.10833,0.0096979
0.061913,0.046794
0.090242,0.052804
0.08746,0.024457
0.098765,0.030153
0.096208,0.014351
0.10989,0.019099
0.077162,0.027122
0.10245,0.032976
0.05814,0.048152
0.10067,0.022046
0.095381,0.0095417
0.094302,0.046807
0.073258,0.038596
0.096021,0.016878
0.071442,0.049429
0.04911,0.097037
0.062875,0.03818
0.069327,0.060234
0.058646,0.058381
0.090856,0.027874
0.062021,0.041487
0.087808,0.019429
0.093904,0.023793
0.069987,0.050825
0.090887,0.03292
0.050567,0.082614
0.064152,0.049579
0.083192,0.015418
0.079127,0.020379
0.12043,0.01458
0.047642,0.052558
0.063942,0.042835
0.038465,0.061803
0.07371,0.059342
0.097735,0.016663
0.11771,0.035774
0.071925,0.038071
0.056525,0.070192
0.074427,0.038484
0.10533,0.017773
0.088677,0.029456
0.079267,0.0091271
0.065323,0.0572
0.062723,0.080129
0.13495,0
0.070679,0.048726
0.062548,0.069176
0.10837,0.016084
0.046615,0.048447
0.057477,0.032399
0.081592,0.018034
0.054312,0.052854
0.053152,0.03224
0.049081,0.064282
0.12333,0.0068448
0.11119,0.0074167
0.079223,0.027907
0.075435,0.033587
0.063623,0.038665
0.095021,0.024353
0.076065,0.034228
0.077715,0.039369
0.088188,0.042503
0.092569,0.047398
0.081719,0.040504
0.059717,0.066458
0.091323,0.025478
0.093067,0.04147
0.0045417,0.0916
0.0055312,0.080371
0.0049958,0.087586
0.0059771,0.079675
0.0075771,0.07381
0.0067146,0.08104
