image_name,pcnt_road,pcnt_sidewalk,pcnt_building,pcnt_wall,pcnt_fence,pcnt_pole,pcnt_traffic_light,pcnt_traffic_sign,pcnt_vegetation,pcnt_terrain,pcnt_sky,pcnt_person,pcnt_rider,pcnt_car,pcnt_truck,pcnt_bus,pcnt_train,pcnt_motorcycle,pcnt_bicycle,pcnt_unlabeled
p1r00394,0.343632813,0.035488281,0.099625651,0.002597656,0.001210938,0.00844401,5.53E-05,0.003753255,0.065885417,0.008649089,0.388492839,0,0,0.02858724,2.93E-05,1.95E-05,0,0,0,0.013528646
p1r00290,0.381051432,0.043766276,0.071253255,0,0.007718099,0.011025391,0.000159505,0.006077474,0.178180339,0.023219401,0.263082682,0.001865234,0,0.005172526,0,0,0,0,0,0.007428385
p1r00166,0.351647135,0.057373047,0.187285156,0.000136719,0.012220052,0.011080729,0.000875651,0.007672526,0.137740885,0.000621745,0.209622396,0.000709635,0.002050781,0.012952474,0.000104167,0,0,0,0.004309896,0.003597005
p1r00093,0.3634375,0.030813802,0.075192057,0,0.017958984,0.012301432,0.005748698,0.003447266,0.179003906,0.027128906,0.263678385,0.000289714,0,0.009869792,4.23E-05,0,0,0,0,0.01108724
p1r00477,0.259752604,0.059723307,0.058291016,0.001269531,0.024602865,0.023284505,0,0.003961589,0.30429362,0.00046224,0.178873698,0.000120443,0,0.041145833,6.84E-05,0,0,0,0,0.044150391
p1r00302,0.308323568,0.06421875,0.04047526,0,0.030703125,0.046376953,0.000117188,0.015384115,0.127073568,0.01257487,0.313098958,0.002568359,0,0.013401693,0.000546875,0,0,0,5.53E-05,0.02508138
p1r00070,0.328694661,0.059667969,0.102281901,0.000247396,0.011197917,0.000403646,0,0.001321615,0.348850911,0.013570964,0.106194661,0.000901693,0,0.024332682,0,0,0,0,0,0.002333984
p1rf0556,0.273984375,0.064222005,0.001888021,2.60E-05,0.049472656,0.000426432,0,0.002428385,0.373684896,0.058837891,0.142828776,1.30E-05,0,0.031113281,0,0,0,0,0,0.001074219
p1r00019,0.397428385,0.016113281,0.026367188,0.00086263,0.038805339,0.007822266,0.000511068,0.00344401,0.067558594,0.007259115,0.394772135,0,0,0.021438802,0.008313802,0.000136719,0,0,0,0.009166667
p1r00525,0.310592448,0.015406901,0.106507161,0.008522135,0.003193359,0.005257161,0.000654297,0.002402344,0.129879557,0.000686849,0.300110677,0.000364583,0,0.107864583,0.00023763,0,0,0,0,0.008320313
p1r00309,0.298740234,0.054573568,0.048844401,0,0,0.038909505,0.014384766,0.003717448,0.166676432,0.050377604,0.262259115,0.000247396,0.001790365,0.032734375,0.004332682,0,0,0,0.004534505,0.017877604
p1r00543,0.359264323,0.035638021,0.188447266,0,0.026611328,0.004397786,1.30E-05,0.000839844,0.098369141,0.00014974,0.260638021,0.000559896,0,0.020182292,0,0,0,0,0,0.004889323
p1r00185,0.264801432,0.07608724,0.009091797,0,0.000224609,0.006946615,0,0.008955078,0.328544922,0.089977214,0.154990234,0.000182292,0,0.010341797,0.001936849,0,0,0,0,0.047919922
p1r00271,0.343629557,0.015501302,0.05773112,0.001943359,0,0.012519531,0.000673828,0.001861979,0.031158854,0.001897786,0.43070638,6.84E-05,0,0.062815755,0.025224609,0,0,0,0,0.014267578
p1r00348,0.33561849,0.029228516,0.127174479,0,0.04569987,0.019501953,0.000113932,0.000263672,0.000895182,0.001178385,0.351888021,0.001376953,0,0.069928385,0.003382161,0.00976888,0,0,0,0.00398112
p1r00274,0.326070964,0.009980469,0.074026693,0,0.001728516,0.001536458,0.000283203,0.000898438,0.406227214,0.045761719,0.077278646,0,0,0.048570964,0,0,0,0,0,0.007636719
p1r00252,0.243235677,0.035957031,0.088147786,0,0.034882813,0.007776693,5.53E-05,0.001650391,0.062141927,0,0,0.003502604,0,0.06663737,9.44E-05,0,0,0,0,0.455917969
p1r00069,0.313720703,0.024501953,0.02764974,0.001442057,0.027711589,0.00491862,0.000107422,0.004534505,0.269179688,0.004176432,0.219046224,1.30E-05,0,0.094208984,0,0,0,0,0,0.008789063
p1r00034,0.340332031,0.048277995,0.19491862,0,0.025875651,0.013955078,0.000341797,0.002900391,0.1375,0.001722005,0.210999349,0.000403646,0,0.016972656,0.002685547,0.000413411,0,0,0,0.002701823
p1r00498,0.38625651,0.012229818,0.040556641,0,0.001002604,0.019840495,0,0.002526042,0.161308594,0.001790365,0.296614583,0,0,0.04938151,0.004586589,1.63E-05,0,0,0,0.023889974
p1r00357,0.351305339,0.04085612,0.287021484,1.30E-05,0.030465495,0.01007487,0.000963542,0.004042969,0.031090495,0.017815755,0.201103516,0,0,0.020859375,9.77E-05,9.77E-06,0,0,0,0.004280599
p1r00464,0.365309245,0.023248698,0.102086589,0,0.003317057,0.010514323,0.001113281,0.003330078,0.04077474,0.015104167,0.382978516,9.77E-05,0,0.035742188,0.000110677,0.000130208,0,0,6.51E-05,0.016077474
p1r00474,0.327897135,0.071009115,0.196894531,0.000729167,0.01343099,0.009283854,0,0.00491862,0.105667318,5.21E-05,0.255859375,0.004915365,0,0.003544922,0,0,0,0,0,0.005797526
p1r00453,0.345253906,0.011826172,0.248382161,1.63E-05,0.002177734,0.005110677,0,0.003932292,0.007571615,0,0.299160156,3.26E-06,0,0.069599609,1.63E-05,0,0,0,0,0.00694987
p1r00173,0.35202474,0.035885417,0.085524089,0,0.020139974,0.012900391,0.001152344,0.001468099,0.035091146,0.001757813,0.386083984,0.000455729,0,0.051588542,0.006197917,0.002692057,0,0,0,0.00703776
p1r00296,0.359557292,0.024960938,0.144287109,0,0.003291016,0.010986328,0,0.015563151,0.022874349,0.017145182,0.370595703,0.000104167,0,0.018522135,0.00148112,0,0,0,0,0.01063151
p1r00365,0.372740885,0.015423177,0.048300781,0.004016927,0.007184245,0.006748047,0,0.006077474,0.107496745,0.007405599,0.369573568,0,0,0.048958333,0.000397135,0,0,0,0,0.005677083
p1r00282,0.281419271,0.033417969,0.104602865,9.77E-06,0.000221354,0.022099609,0.003365885,0.005582682,0.064671224,0.083053385,0.358382161,0,0,0.027011719,0.000654297,0.001715495,0,0,0,0.013792318
p1r00201,0.274485677,0.013473307,0.456165365,0,6.84E-05,0.005817057,6.18E-05,0.000921224,0.026959635,0,0.072011719,0.000458984,0,0.138349609,0.007281901,0,0,0,0,0.003945313
