id,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,ED
p1s00001.jpg,1.449011046,0.159335476,0.616732971,1.931827673,0.08773385,0.268460138,7.633971496,0.09608724
p1s00002.jpg,0.997311166,0.320123328,0.540615107,1.099389133,0.222381571,0.205562802,7.560053957,0.109095052
p1s00003.jpg,-2.417348924,0.137197077,0.449900786,1.476389889,0.129007017,0.169042756,7.346350011,0.123046875
p1s00004.jpg,0.269994364,0.24930593,0.587992622,1.492315838,0.23856338,0.257317894,7.499752397,0.114584961
p1s00005.jpg,0.712664992,0.171798224,0.646293224,2.331844645,0.157754139,0.218314967,7.363646837,0.083636068
p1s00006.jpg,0.773912329,0.316281811,0.501803871,0.920235534,0.234822655,0.205128354,7.58342212,0.130296224
p1s00007.jpg,0.297302129,0.270029074,0.597068449,1.734460609,0.208074803,0.171498299,7.060397734,0.109635417
p1s00008.jpg,-0.150243524,0.17022116,0.493033854,2.082281254,0.142181104,0.195710579,7.399180072,0.110213216
p1s00009.jpg,-2.581409751,0.195061017,0.576139387,1.406447965,0.196766645,0.245291282,7.746944631,0.091818034
p1s00010.jpg,-2.8282693,0.137212913,0.50623463,0.88510404,0.104716576,0.218059028,7.066818503,0.095875651
p1s00011.jpg,2.143476119,0.160384289,0.565639668,1.817446783,0.18168241,0.192087309,7.358081479,0.098842773
p1s00012.jpg,-2.519683879,0.166019697,0.536729856,1.079904811,0.131076605,0.277510312,7.282620618,0.091197917
p1s00013.jpg,-2.48374496,0.121537968,0.575715214,1.343496539,0.113289636,0.202311663,7.323857119,0.123269857
p1s00014.jpg,1.904296909,0.142559348,0.472021701,1.775395102,0.151638268,0.173489987,7.441070512,0.129199219
p1s00015.jpg,-2.165428833,0.100541193,0.558617277,1.915424078,0.109726826,0.170966804,7.010621192,0.10847819
p1s00016.jpg,0.661248371,0.098771373,0.559142821,2.306480568,0.122669386,0.175247683,7.133878607,0.087311198
p1s00017.jpg,0.665964941,0.177102658,0.581334278,1.574729042,0.158561911,0.187159695,7.261793558,0.094295247
p1s00018.jpg,0.23288209,0.227660453,0.569442045,2.079280419,0.180181108,0.211981149,7.635437548,0.109231771
p1s00019.jpg,-0.125209087,0.176801546,0.730216056,2.438752331,0.191340728,0.224013975,7.405999189,0.09141276
p1s00020.jpg,1.339857125,0.272679314,0.571169718,1.730564242,0.221233119,0.251595516,7.756409994,0.120729167
p1s00021.jpg,1.648467295,0.188671607,0.593287148,1.980381844,0.096017832,0.168076554,7.176992648,0.099285482
p1s00022.jpg,2.11475329,0.190734517,0.547207784,1.776720083,0.141774138,0.239135804,7.685395258,0.098841146
p1s00023.jpg,1.507849152,0.212324716,0.550877502,1.619510389,0.124260171,0.183174535,7.316309632,0.103691406
p1s00024.jpg,1.680457995,0.196002307,0.540161943,1.454597424,0.134258081,0.277071408,7.460506931,0.098209635
