image_name,pcnt_road,pcnt_sidewalk,pcnt_building,pcnt_wall,pcnt_fence,pcnt_pole,pcnt_traffic_light,pcnt_traffic_sign,pcnt_vegetation,pcnt_terrain,pcnt_sky,pcnt_person,pcnt_rider,pcnt_car,pcnt_truck,pcnt_bus,pcnt_train,pcnt_motorcycle,pcnt_bicycle,pcnt_unlabeled
Restoration_Image_46,0.0,0.0,0.019429524739583332,0.0,0.0,0.0011189778645833333,0.0,2.5431315104166668e-05,0.4359130859375,0.0,0.5218709309895834,0.0,0.0,0.0,0.0,0.0,0.0,0.0011393229166666667,0.0082855224609375,0.012217203776041666
Restoration_Image_25,0.0,0.0,7.801123361764094e-06,0.0003991574786769295,0.003384387351778656,0.0042295090493031,0.0,7.801123361764094e-06,0.4550551279384231,0.06935068649885584,0.39773897441231537,0.0,0.0,0.0,6.500936134803412e-05,0.0,0.0,0.0,0.0,0.0697615456625754
Restoration_Image_17,0.00546279930985145,0.002380276059420107,0.006293923326179354,0.00031298657576905273,0.0,0.0,0.0,0.0,0.08835952952068342,0.2855989353196145,0.5677129360770946,0.0,0.0,0.01466565669317847,0.0,0.0,0.0,0.0,1.0520557168707655e-05,0.02920243656104027
Restoration_Image_30,0.0009517370501352195,2.600374453921365e-06,0.0,0.0,0.0,0.0032998751820262117,0.0,7.801123361764094e-06,0.2784571978364885,0.37008399209486165,0.3462944664031621,0.0,0.0,6.5009361348034115e-06,0.0,0.0,0.0,0.0,0.0,0.0008958289993759101
Urban_Image_01,0.058746337890625,0.07865397135416667,0.06812032063802083,0.0,0.4047648111979167,0.00017801920572916666,0.001434326171875,0.00018310546875,1.52587890625e-05,3.0517578125e-05,0.11691792805989583,0.004465738932291667,0.0,0.1453857421875,0.0,0.0018513997395833333,0.0,0.0,0.0,0.11925252278645833
Urban_Image_29,0.3027111111111111,0.0049037037037037035,0.16605925925925927,0.0016148148148148148,0.012592592592592593,0.01760740740740741,0.0036814814814814813,0.005918518518518518,0.17932592592592592,0.0891037037037037,0.18425925925925926,8.888888888888889e-05,0.0,0.03211111111111111,0.0,0.0,0.0,0.0,1.4814814814814815e-05,7.4074074074074075e-06
Urban_Image_50,0.04892592592592593,0.016585185185185185,0.7539777777777777,0.0,0.0,0.010896296296296296,0.005348148148148148,0.0045703703703703705,0.0,0.0,0.09946666666666666,0.05417037037037037,0.00046666666666666666,0.004266666666666667,2.2222222222222223e-05,0.0,0.0,0.0,0.000725925925925926,0.0005777777777777778
Restoration_Image_12,0.0,0.02226938938686193,0.00037084964019694485,0.0,0.0,0.0002709043470942221,0.0,0.0,0.1028647477170391,0.3866225855321298,0.41424167823927954,0.0,0.0,0.0005944114800319825,0.0,0.0,0.0,0.0,0.0,0.0727654336573665
Urban_Image_08,0.3033487019255195,0.0560572575318803,0.15304133008179646,0.0003238835543362292,0.007106386221612559,0.008474953005131331,0.0002857796067672611,0.0,0.16639993903368389,0.03865645480871818,0.2532705888330031,0.005861657267692933,0.0,0.002324340801707057,0.0,0.0,0.0,0.0,0.0007366763196667175,0.004112051008484479
Restoration_Image_23,0.0,0.0,0.0,0.0,0.2654280216351155,0.001870969419596422,0.0,1.1701685042646141e-05,0.6719757645100894,0.005852142708550031,0.04696926357395465,2.9904306220095695e-05,0.0,0.00018072602454753485,4.160599126274184e-05,0.0,0.0,0.0,0.0004654670272519243,0.0071744331183690455
Restoration_Image_38,0.0,0.0,7.62740394731305e-05,0.0,0.013697765433657366,0.0006969869124268821,0.0,0.0002761646256785759,0.9756554307116105,0.0006996170517190591,0.008816226907377015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8410975045238395e-05,6.312334301224592e-05
Restoration_Image_36,0.2199305700020803,0.00922092781360516,0.0,0.0,0.0,0.005508893280632411,0.0,2.600374453921365e-06,0.040659454961514456,0.1401952881214895,0.45702231121281467,0.0,0.0,0.035948876638235906,0.0,0.0,0.0,0.0,0.0,0.0915110775951737
Urban_Image_07,0.0,0.0,0.4488994309810496,0.0,0.0,0.0044454605497129505,0.003616699690087893,0.0006001371742112483,0.0003429355281207133,0.0,0.5395487222476248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002546613829192704
Restoration_Image_43,0.0009915625131506965,0.0002945756007238143,0.0,0.0,0.0,0.00016832891469932248,0.0,0.0,0.7139065984934562,0.2820114253250852,8.153431805748433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025459748348272524
Urban_Image_21,0.22730909922267947,0.04433394299649444,0.542781207133059,0.0,0.0,0.015644845806025504,0.0003080069095158258,0.001990931260478586,0.0050233704211756335,0.0,0.15870294162475232,0.0037119595590103137,0.0,0.0,0.0,0.0,0.0,0.0,5.080526342529086e-05,0.00014288980338363056
Restoration_Image_32,0.0,2.7303931766174328e-05,9.491366756812981e-05,0.005062929061784897,0.0007541085916371958,0.0034168920324526733,0.0,0.0,0.5497776679841897,0.0785846161847306,0.3436004784688995,0.0,0.0,4.810692739754525e-05,0.0020412939463282714,0.0,0.0,0.0,0.0,0.016591689203245268
Urban_Image_37,0.3739777777777778,0.0340962962962963,0.18008148148148148,0.0,0.0,0.03577037037037037,0.001637037037037037,0.020444444444444446,0.008333333333333333,0.00023703703703703704,0.24281481481481482,0.006822222222222223,0.0,0.06521481481481481,0.0010148148148148147,0.00025185185185185185,0.0,0.0,0.0,0.029303703703703703
Restoration_Image_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003682195009047679,0.9681779447039516,0.021780183478517023,0.0076195135294365186,0.0,0.0,0.0009389597273071581,0.0,0.0,0.0,0.0,0.0,0.0011151790598830113
Restoration_Image_16,0.0,0.0,0.0010783571097925347,0.0,0.004452825821655515,0.00032876741152211423,0.0,2.6301392921769137e-06,0.1772003745318352,0.005865210621554517,0.0,0.00010520557168707655,0.0,0.0,0.6735813028657998,0.0,0.0,0.0,0.008839898161006606,0.12854542776585448
Restoration_Image_29,0.0,0.0,1.3001872269606823e-05,0.0,0.0033167776159767006,0.0028396089036821304,0.0,0.0,0.4906724568337841,0.19111842105263158,0.30986322030372376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002176513417932182
Restoration_Image_27,0.0,1.3001872269606824e-06,0.00142890576242979,0.0,0.015022363220303724,0.0007749115872685667,0.0,0.0002288329519450801,0.9615352610775951,0.015005460786353234,0.0003692531724568338,0.00033544830455585603,0.0,0.0017422508841273144,0.0,0.0,0.0,0.0,0.0003614520490950697,0.0031945600166423966
Restoration_Image_19,0.0,0.003045038485541918,0.014897545246515499,0.0,0.01584798210942376,0.005654514250052007,0.0,0.0,0.7102532764718119,0.03576555023923445,0.19312070938215103,0.0,0.0,0.0004485645933014354,1.3001872269606824e-06,0.0,0.0,4.2906178489702516e-05,2.3403370085292282e-05,0.02089920948616601
Restoration_Image_10,0.0,0.0,0.0,0.0,8.416445734966124e-05,0.020883305979884696,0.0,0.00011309598956360729,0.6312123890081218,0.0002919454614316374,0.30142185330135085,3.9452089382653705e-05,0.0,0.0,0.0008889870807557968,0.0,0.0,0.0,0.005952005218196356,0.03911280141396288
Urban_Image_35,0.015518641565153193,0.07122923588039867,0.29722406792174233,0.0,0.0060834256183093394,0.007545219638242894,0.000575858250276855,0.0024732373569582872,0.04404577334809893,0.2912513842746401,0.20533038021410113,0.0,0.0,0.008962716869693613,0.003241048357327427,0.0,0.0,0.0,0.0,0.046519010705057214
Urban_Image_46,0.2429490022172949,0.00090169992609017,0.0019733924611973395,0.0,0.0,0.03097560975609756,0.0,0.0007760532150776053,0.37960827790096086,0.07453067257945306,0.17426459719142645,0.0016260162601626016,0.0,0.09174427198817443,0.00024390243902439024,0.0,0.0,0.0,0.0,0.0004065040650406504
Urban_Image_11,0.2839728445866992,0.02124612609866382,0.12682898948331048,0.0,0.004969389828786262,0.004680434893054921,0.0014415993496926282,0.0026355230401869634,0.24034064929126658,0.04939541736523904,0.24565297464817354,0.0030673677793019356,0.0,0.01230439973581263,0.0,0.0,0.0,0.0,0.0,0.0034642838998120203
Urban_Image_32,0.2214495952906549,0.003495217071376012,0.39014716703458424,0.0,0.010463576158940398,0.0012509197939661516,0.003576158940397351,6.622516556291391e-05,0.0,0.0,0.3316114790286976,0.0,0.0,0.03554819720382634,0.0,0.0,0.0,0.0,0.0,0.0023914643119941135
