ImageName,Nat,Pref
LHHSPC_015.jpg,2.544892171,3.840443982
LHHSPC_023.jpg,2.695419091,4.550031787
LHHSPC_028.jpg,2.943897012,4.078895035
margo1.jpg,5.577888894,4.851260237
margo2.jpg,4.551695682,4.943769999
margo3.jpg,4.361117902,4.769133073
Marian_House12.jpg,1.947980341,3.730397276
Marian_House16.jpg,2.003527067,4.015436034
Marian_House24.jpg,2.291389555,3.947724164
MD1.jpg,4.56560223,3.934496186
MD2.jpg,2.367157318,4.350683115
MD3.jpg,2.431426965,4.200193056
meridian1.jpg,3.289311213,3.635703601
meridian2.jpg,3.37762849,4.20298535
meridian3.jpg,3.006662917,3.708656066
metro1.jpg,2.572723605,3.155313003
metro2.jpg,1.358905081,2.927247257
metro3.jpg,1.927319185,3.379260617
Mt_Washington_Arboretum028.jpg,6.544158639,5.645963595
Mt_Washington_Arboretum029.jpg,5.102957357,5.372820295
mtwash1.jpg,4.472400851,4.303866254
national1.jpg,5.848965719,4.995535881
national2.jpg,5.842518379,5.053785328
national3.jpg,4.946690547,5.668429565
NDC1.jpg,4.046071935,4.646302962
NDC2.jpg,2.857933151,3.2821939
NDC3.jpg,2.76042227,3.971991511
newborn1.jpg,3.466031346,3.703303916
newborn2.jpg,2.756546775,3.935060106
newborn3.jpg,2.857725316,3.754727291
Patterson.jpg,2.684721746,5.102768806
PattersonPark022.jpg,2.697197906,5.384609308
PattersonPark029.jpg,4.271651426,5.659775051
peoples.jpg,2.799825175,3.22931714
Providence_Hospital_17.jpg,2.752744633,4.397126898
Providence_Hospital_20.jpg,3.143356644,4.231544725
Providence_Hospital_31.jpg,3.394414152,4.416525186
rocco_buda_after.jpg,1.839698763,3.187758498
rocco_buda_gazebo.jpg,1.915558218,3.606083822
rocco_buda_playground.jpg,2.205933054,3.578041611
sharpe1.jpg,2.400435229,3.603711061
sharpe2.jpg,2.548834906,3.740769063
sharpehealth.jpg,2.653173749,3.673587288
StAnthony's123.jpg,2.286157025,5.027185382
stanthonys1.jpg,3.937484718,4.806123597
stanthonys2.jpg,2.498752995,3.63037564
stbartholomews.jpg,3.009126363,3.728784918
StLuke's_Bethesda_13.jpg,4.562393026,4.202311058
StLuke's_Bethesda_47.jpg,3.310320798,4.749002335
StLuke's_labyrinth_from_the_churchyard.jpg,4.282538266,5.110979128
stpauls1.jpg,2.043119468,3.530409297
stpauls2.jpg,3.114229303,4.515127586
stpauls3.jpg,3.534035894,3.627454097
Thanksgiving_Place_01.jpg,3.085523742,4.312618742
Thanksgiving_Place_65.jpg,2.766162159,4.153020776
Thanksgiving_Place_69.jpg,2.241515477,4.537601102
UMBC-Beuys054.jpg,4.564312436,4.144863868
UMBC-Beuys062.jpg,4.33900802,4.283523385
UMBCbeuys.jpg,4.748361778,4.215814934
UMCP1.jpg,4.413785515,4.902384047
UMCP2.jpg,3.775777544,3.883171975
UMCP3.jpg,2.676188322,4.622599192
Unity1.jpg,4.886712064,4.485342907
unity2.jpg,5.286432099,4.590169357
unity3.jpg,5.208078635,4.625912456
unzentozen.jpg,1.606301042,3.96779524
upenn1.jpg,2.836905227,4.611419263
upenn2.jpg,1.763283898,4.455685149
upenn3.jpg,1.966823874,3.515217737
Village_Learning_Place01.jpg,3.511088562,3.875699167
Village_Learning_Place05.jpg,2.776492738,4.403996636
Village_Learning_Place25.jpg,2.935504181,4.646184363
washingtonmarvin1.jpg,4.80676928,4.523680731
washingtonmarvin2.jpg,4.470273607,3.400212922
washingtonmarvin3.jpg,5.044201428,4.445286502
washmeridian1.jpg,2.283620226,5.065489914
washmeridian2.jpg,1.920423981,3.655133971
washmeridian3.jpg,2.709484571,4.215053663
washwatts1.jpg,3.748661304,3.556885627
washwatts2.jpg,5.422111106,4.512211051
washwatts3.jpg,5.705382904,5.403458173
WCI_003.jpg,3.150893686,4.038519235
WCI_007.jpg,2.596037703,3.698655623
WCI_051.jpg,2.510446721,4.513859803
WhitWalker_TKF007.jpg,3.623661303,4.223420729
WhitWalker_TKF049.jpg,3.603507507,4.297190235
WhitWalker_TKF069.jpg,4.479551917,4.929550729
Restoration_Image_02.BMP,6.835823267,6.17016398
Restoration_Image_03.BMP,6.846153846,6.143879499
Restoration_Image_04.BMP,6.799299477,5.977378253
Restoration_Image_05.BMP,6.794134187,6.063141594
Restoration_Image_06.BMP,6.64840579,5.059024531
Restoration_Image_07.BMP,6.826207883,5.481710342
Restoration_Image_08.BMP,6.846153846,5.284103214
Restoration_Image_09.BMP,6.8203274,3.262296543
Restoration_Image_10.BMP,6.825492689,4.270099426
Restoration_Image_11.BMP,6.8203274,4.206814512
Restoration_Image_12.BMP,6.39992787,5.989986537
Restoration_Image_13.BMP,6.537122842,4.292890201
Restoration_Image_14.BMP,6.349913198,5.149293968
Restoration_Image_15.BMP,6.593815101,4.330698109
Restoration_Image_16.BMP,6.572564673,5.417897961
Restoration_Image_17.BMP,6.618337082,6.30083839
Restoration_Image_18.BMP,6.665191451,5.055492175
Restoration_Image_19.BMP,6.164135194,5.430028608
Restoration_Image_20.BMP,6.820453322,5.531834889
Restoration_Image_21.BMP,6.840766052,4.607973244
Restoration_Image_22.BMP,6.85626192,4.388091251
Restoration_Image_23.BMP,6.840766052,3.791447777
Restoration_Image_24.BMP,6.819738129,6.073220546
Restoration_Image_25.BMP,6.706180008,6.02529788
Restoration_Image_26.BMP,6.659325639,6.068172118
Restoration_Image_27.BMP,6.768530246,5.621729891
Restoration_Image_28.BMP,6.721675877,5.603153953
Restoration_Image_29.BMP,6.795438652,5.958616567
Restoration_Image_30.BMP,6.758199668,5.529569107
Restoration_Image_31.BMP,6.686441879,6.343476567
Restoration_Image_32.BMP,6.738461539,6.462109032
Restoration_Image_33.BMP,6.712635093,5.675679014
Restoration_Image_34.BMP,6.712635093,6.255676396
Restoration_Image_35.BMP,6.717800382,4.940733938
Restoration_Image_36.BMP,6.670946012,4.524513318
Restoration_Image_37.BMP,6.676111301,5.224781982
Restoration_Image_38.BMP,6.72813096,3.801617086
Restoration_Image_39.BMP,6.72813096,6.222180687
Restoration_Image_40.BMP,6.79483471,5.722427288
Restoration_Image_41.BMP,6.79483471,5.977139154
Restoration_Image_42.BMP,6.79483471,6.022773269
Restoration_Image_43.BMP,6.780054037,5.738179855
Restoration_Image_44.BMP,6.865780723,6.331818042
Restoration_Image_45.BMP,6.923680864,5.812437246
Restoration_Image_46.BMP,6.923680864,6.374138355
Restoration_Image_47.BMP,6.637389359,6.174567331
Restoration_Image_48.BMP,6.673197956,6.55652175
Restoration_Image_49.BMP,6.92296567,6.521915314
Restoration_Image_50.BMP,6.830657978,6.436170908
Restoration_Image_51.BMP,6.835823267,6.437968639
Urban_Image_01.BMP,1.257885471,4.319204452
Urban_Image_02.BMP,1.164176733,5.089771348
Urban_Image_03.BMP,1.194945963,2.374896484
Urban_Image_04.BMP,1.283489412,4.473386532
Urban_Image_05.BMP,1.169342022,4.429151996
Urban_Image_06.BMP,1.159011443,4.972019698
Urban_Image_07.BMP,1.169342022,4.869422204
Urban_Image_08.BMP,1.640887084,3.289906524
Urban_Image_09.BMP,1.610610543,3.087365843
Urban_Image_10.BMP,1.604507555,3.153834398
Urban_Image_11.BMP,1.642094968,3.441288073
Urban_Image_12.BMP,1.588644921,2.982601717
Urban_Image_13.BMP,1.722245586,3.076899611
Urban_Image_14.BMP,1.455044256,3.550453306
Urban_Image_15.BMP,1.324685803,2.671831667
Urban_Image_16.BMP,1.163461539,1.858339021
Urban_Image_17.BMP,1.387751235,2.17440515
Urban_Image_18.BMP,1.773772556,2.738791206
Urban_Image_19.BMP,1.164176733,1.953754394
Urban_Image_20.BMP,1.39328329,2.866263907
Urban_Image_21.BMP,1.184615385,2.378924895
Urban_Image_22.BMP,1.593983814,2.203260653
Urban_Image_23.BMP,1.209615385,3.286159269
Urban_Image_24.BMP,1.408078635,2.215853675
Urban_Image_25.BMP,2.051545308,3.417726408
Urban_Image_26.BMP,1.293708739,3.849608061
Urban_Image_27.BMP,1.65051714,1.944159951
Urban_Image_28.BMP,1.2,2.610998117
Urban_Image_29.BMP,1.854879211,1.622542982
Urban_Image_30.BMP,2.58509218,1.670332332
Urban_Image_31.BMP,1.262238985,3.201345686
Urban_Image_32.BMP,1.262238985,2.383367886
Urban_Image_33.BMP,1.463243924,1.987803233
Urban_Image_34.BMP,1.371332339,1.890471327
Urban_Image_35.BMP,1.635513961,1.60419335
Urban_Image_36.BMP,1.23593452,3.0306207
Urban_Image_37.BMP,1.230769231,1.905432062
Urban_Image_38.BMP,1.123076923,2.989066508
Urban_Image_39.BMP,1.792370042,2.368038054
Urban_Image_40.BMP,2.995350629,1.889824006
Urban_Image_41.BMP,1.40420314,2.786108434
Urban_Image_42.BMP,1.262238985,1.902772288
Urban_Image_43.BMP,1.215384615,2.453786531
Urban_Image_44.BMP,1.366278302,3.344241894
Urban_Image_45.BMP,1.262939508,2.317869798
Urban_Image_46.BMP,2.127816763,3.348890655
Urban_Image_47.BMP,1.366263631,3.117589118
Urban_Image_48.BMP,3.54955499,3.133474908
Urban_Image_49.BMP,1.26093452,2.311135733
Urban_Image_50.BMP,1.552391315,3.81590292
