ImageName,Hue,Bright,Saturaton,SDhue,SDsat,Sdbright,Entropy,Perc_Nat,pc1f,pc2f,pc3f,pc4f,SED,total_ED,NSED,D_ER,pref
Nature36,0.075405797,0.275703591,0.135289028,0.139800818,0.237129953,0.264002844,7.823438103,6.676111301,-0.061494212,0.017744782,-0.078400011,-0.103322801,0.023358267,0.16917582,0.194351784,1.14881538,5.224781982
Nature37,0.063164609,-0.883979386,0.128573513,0.139650298,0.224934836,0.273377674,7.761459869,6.72813096,-0.061273346,-0.042321135,0.004534496,-0.102046346,0.025514981,0.166132748,0.196850416,1.184898332,3.801617086
Nature38,0.100156625,-0.972984689,0.105691554,0.171919339,0.215748388,0.272337652,7.734471851,6.72813096,-0.035474471,-0.033321617,-0.056554418,-0.073991842,0.042555654,0.160367483,0.167587486,1.045021615,6.222180687
Nature39,0.107200571,-0.616831025,0.099928278,0.175717077,0.215878309,0.267349523,7.88035663,6.79483471,-0.040862768,-0.04624961,-0.071558861,-0.018062699,0.038573623,0.160153127,0.152023637,0.949239268,5.722427288
Nature40,0.11714899,-1.296054057,0.104878734,0.172606367,0.226766938,0.253476496,7.489314352,6.79483471,-0.05219092,-0.113719276,0.036040192,0.059208069,0.017858646,0.157166604,0.185283064,1.178895893,5.977139154
Nature41,0.086824412,-2.006787704,0.116563263,0.114100998,0.19679619,0.228532523,7.381212417,6.79483471,-0.030151956,-0.034547273,-0.036550757,-0.07502682,0.011312229,0.153828957,0.196048224,1.274455914,6.022773269
Nature42,0.079939577,0.301390737,0.134855232,0.050297448,0.196060476,0.214083048,7.697833817,6.780054037,-0.044591577,-0.012306927,0.000473094,-0.074350602,0.020670265,0.174490016,0.213142814,1.22151868,5.738179855
Nature43,0.12085065,0.214905303,0.071429316,0.192696941,0.16917282,0.291144863,7.609841103,6.865780723,-0.051741084,-0.06052667,-0.019702095,-0.106929909,0.028729011,0.140749274,0.145325987,1.032516779,6.331818042
Nature44,0.107837598,-1.722261855,0.090672918,0.189687988,0.199605873,0.309095623,7.360400624,6.923680864,-0.049456554,-0.087329274,-0.070718283,0.048212059,0.019891743,0.132343349,0.174331164,1.317264262,5.812437246
Nature45,0.169032816,0.385722324,0.100216315,0.138874741,0.180614071,0.294787399,7.547181851,6.923680864,-0.063410278,-0.009953144,0.054574272,0.005222908,0.045033773,0.107073466,0.125013749,1.167551156,6.374138355
Nature46,0.138606143,-0.204254043,0.114917958,0.18892126,0.260050308,0.335154438,7.623800924,6.637389359,-0.070199812,-0.055934156,0.134068312,-0.007082112,0.027258764,0.120324927,0.172927984,1.437175058,6.174567331
Nature47,0.137103713,-0.430423212,0.120084934,0.193828598,0.23153975,0.330413905,7.843106184,6.673197956,-0.053475831,-0.061689932,-0.001652043,0.096377624,0.036610921,0.121742249,0.142965714,1.17433114,6.55652175
Nature48,0.155116787,1.497616312,0.135481493,0.196999057,0.140413418,0.238122774,7.361955897,6.92296567,-0.059569576,0.028392106,0.035173123,-0.028721867,0.038986206,0.10295105,0.13562878,1.317410362,6.521915314
Nature49,0.142798485,1.187678036,0.127795153,0.190549381,0.177402299,0.270225965,7.550316643,6.830657978,-0.055841831,-0.048959372,0.014996616,0.052054966,0.031178792,0.111040751,0.160793066,1.448054562,6.436170908
Nature50,0.146830439,1.247157493,0.113446342,0.170184576,0.223869132,0.290871229,7.827258554,6.835823267,-0.081534448,0.066615971,0.077663654,-0.004672188,0.0270089,0.126157261,0.170472749,1.351271799,6.437968639
Urban1,0.181762596,-0.058721591,0.095507993,0.304474856,0.166782095,0.234980589,7.413698933,1.257885471,-0.05955091,-0.027526068,0.02845913,0.015379967,0.062052409,0.110979716,0.119319677,1.075148516,4.319204452
Urban2,0.184234826,0.041251744,0.106971825,0.311827856,0.16142374,0.285013318,7.416714339,1.164176733,-0.056591063,-0.038479324,0.10108741,-0.023956196,0.049743652,0.107032776,0.135463476,1.265626111,5.089771348
Urban3,0.154062044,0.972566713,0.11380264,0.306967823,0.182929351,0.319624071,7.411958148,1.194945963,-0.060108662,-0.063298274,0.052949367,0.061066569,0.045369466,0.044715881,0.094091813,2.104214675,2.374896484
Urban4,0.135674235,-0.232370978,0.112951896,0.307104713,0.196209742,0.313201368,7.163706471,1.283489412,-0.068772854,-0.017895051,-0.021917328,0.12370282,0.037450155,0.086776733,0.129901647,1.496964019,4.473386532
Urban5,0.173927101,0.479312173,0.098343931,0.264241097,0.166226914,0.290207499,7.197657434,1.169342022,-0.075367643,-0.009880804,-0.01940276,0.122335007,0.064427694,0.087791443,0.113506079,1.29290595,4.429151996
Urban6,0.186238395,-0.458353109,0.1234356,0.340233227,0.19076995,0.291191085,7.22286769,1.159011443,-0.06295889,0.012625642,-0.027775918,0.030161166,0.021928822,0.08969193,0.162557067,1.812393456,4.972019698
Urban7,0.170667533,-0.73164511,0.104447407,0.230310499,0.100560783,0.246008954,7.006296768,1.169342022,-0.041591781,-0.003020456,-0.063577591,0.116818154,0.014235,0.083092008,0.1463486,1.761283709,4.869422204
Urban8,0.130577506,0.852673403,0.060703525,0.230460835,0.129382586,0.199052832,7.256433972,1.640887084,-0.057909679,-0.009651612,0.025908653,0.02497138,0.062372987,0.101158042,0.106779238,1.055568454,3.289906524
Urban9,0.102717996,1.059837347,0.061341914,0.253766993,0.128760787,0.190192846,7.248228194,1.610610543,-0.059811108,-0.006346051,0.028034488,0.01567944,0.06433534,0.103884062,0.11106752,1.069148798,3.087365843
Urban10,0.137052115,-0.30485052,0.053310836,0.20003363,0.111310263,0.220542472,7.635079083,1.604507555,-0.059027917,-0.01517032,-0.011788568,-0.009782989,0.088826652,0.130010669,0.085233044,0.655584997,3.153834398
Urban11,0.179728753,0.363615974,0.059848828,0.138072603,0.087298364,0.301798832,7.496319823,1.642094968,-0.078790498,0.01908966,0.093532,0.007018506,0.054990347,0.102197963,0.100547655,0.98385185,3.441288073
Urban12,0.158329652,0.079018845,0.060685432,0.187602482,0.12023283,0.258171667,7.705495271,1.588644921,-0.067009056,0.008628861,0.073718017,-0.037508606,0.047277473,0.118901781,0.1283683,1.079616293,2.982601717
Urban13,0.135373617,0.466583647,0.081663509,0.240214891,0.190498845,0.280565311,6.995275775,1.722245586,-0.077219412,-0.024628892,0.140130083,0.008225709,0.055241198,0.137296461,0.134518912,0.979769697,3.076899611
Urban14,0.169473487,0.429321804,0.053850976,0.282197724,0.127014069,0.211585063,7.27415297,1.455044256,-0.048082433,-0.001843489,-0.015868692,-0.012096851,0.079062516,0.105255805,0.060887796,0.57847447,3.550453306
Urban15,0.182345021,-1.405426848,0.067979407,0.198159196,0.130925001,0.306912793,7.016793089,1.324685803,-0.06295407,-0.093586322,-0.007194419,0.085511724,0.064341691,0.102297986,0.111513654,1.090086505,2.671831667
Urban16,0.185661453,0.445608273,0.091001672,0.102806168,0.131860152,0.312890693,7.064976494,1.163461539,-0.069153874,-0.026853091,0.096711386,0.010288885,0.124961896,0.069530178,0.06193248,0.890728052,1.858339021
Urban17,0.180419775,-0.107637938,0.092621316,0.141245622,0.144284996,0.308853057,7.585478928,1.387751235,-0.068599174,-0.004487535,0.009811002,0.028475548,0.052666006,0.091060496,0.112847292,1.239256285,2.17440515
Urban18,0.166157905,-0.444604588,0.075643607,0.165618716,0.154159843,0.36016057,7.235874513,1.773772556,-0.058143037,-0.070280193,0.032733427,-0.076944281,0.028974877,0.097977951,0.126083651,1.286857397,2.738791206
Urban19,0.174203669,-0.166340054,0.069302747,0.166456556,0.129838658,0.349995117,6.871121769,1.164176733,-0.089507623,0.074416321,0.034457821,-0.005465707,0.067663085,0.067007379,0.070977404,1.059247579,1.953754394
Urban20,0.175679196,-0.238163446,0.056414786,0.213671687,0.105270626,0.242493419,7.073115707,1.39328329,-0.035052523,-0.022857286,-0.020007482,0.033042645,0.066945461,0.098035106,0.073601814,0.750769974,2.866263907
Urban21,0.186196167,-0.393106482,0.057423283,0.252169093,0.1050959,0.254076605,6.916076859,1.184615385,-0.082324151,0.016783285,0.085653239,0.029340277,0.059781918,0.08744856,0.073687547,0.84263877,2.378924895
Urban22,0.153774939,0.331941179,0.066035416,0.253707325,0.12011212,0.237413546,7.264867163,1.593983814,-0.048034826,0.019244633,-0.009033838,0.037324301,0.083288879,0.08158849,0.08546643,1.047530479,2.203260653
Urban23,0.167833781,0.215318802,0.048502284,0.268421145,0.122764227,0.281208026,6.732345426,1.209615385,-0.057639719,-0.041587117,0.152558741,-0.003547533,0.054466418,0.086589633,0.085558515,0.9880919,3.286159269
Urban24,0.138570479,0.85521758,0.038888362,0.2366915,0.125539795,0.266900429,6.882417801,1.408078635,-0.065280939,-0.060918434,0.03809957,-0.060840755,0.044902327,0.097608025,0.113536338,1.163186511,2.215853675
Urban25,0.181418447,-2.048357712,0.081567487,0.274109934,0.1252519,0.255552453,7.480416031,2.051545308,-0.046561801,-0.054136905,-0.00341922,-0.032273212,0.055474881,0.118727539,0.097059222,0.817495442,3.417726408
Urban26,0.220264698,-1.373192334,0.082383305,0.248315313,0.137050584,0.251577775,7.336121725,1.293708739,-0.041005449,-0.058206367,-0.080441001,0.123704135,0.085837037,0.12177037,0.085262963,0.700194661,3.849608061
Urban27,0.173323709,0.222883945,0.080406328,0.342194089,0.169917001,0.281259896,7.422415401,1.65051714,-0.061339994,-0.048860612,0.083385589,-0.065078651,0.085,0.084955556,0.088359259,1.040064513,1.944159951
Urban28,0.215853211,-0.964653498,0.079788013,0.120568478,0.130034259,0.334272198,7.265546152,1.2,-0.057387155,-0.076418092,0.070805418,0.00922326,0.068167036,0.077317073,0.091924571,1.188929785,2.610998117
Urban29,0.210280755,-0.895508025,0.081646162,0.302036885,0.093478326,0.209031034,7.224559522,1.854879211,-0.048075432,-0.018019212,0.041639088,-0.052300326,0.099081481,0.106896296,0.093392592,0.873674725,1.622542982
Urban30,0.20915934,2.431520253,0.099438661,0.166751842,0.097365433,0.247590145,6.920417338,2.58509218,-0.067384012,0.038846988,0.050853773,-0.029556134,0.086925926,0.06037037,0.09027037,1.495276077,1.670332332
Urban31,0.198006499,0.436174595,0.051737286,0.247566713,0.129114964,0.224978355,7.819276795,1.262238985,-0.05360172,-0.044257926,-0.063379882,0.092782595,0.121955556,0.1306,0.024766667,0.189637573,3.201345686
Urban32,0.158585044,1.925018598,0.070752672,0.320045799,0.082009168,0.266840139,7.352129676,1.262238985,-0.073000926,0.060783882,0.013794093,-0.017683997,0.12486387,0.091725533,0.0187909,0.20486008,2.383367886
Urban33,0.191401775,1.183613192,0.062223484,0.298641822,0.161980622,0.267289194,7.536634774,1.463243924,-0.055199212,-0.07371735,0.014915168,0.002724077,0.100265487,0.095888643,0.076089888,0.793523462,1.987803233
Urban34,0.218322078,-0.661784304,0.065752431,0.184185991,0.113311432,0.336583849,7.110966214,1.371332339,-0.063047068,-0.065348665,0.122015051,-0.013423604,0.074592593,0.083477778,0.085837037,1.02826212,1.890471327
Urban35,0.136235224,0.667676251,0.070464959,0.335886987,0.207687061,0.249975892,7.556830034,1.635513961,-0.067846588,-0.018349938,0.061995911,0.005034127,0.127619048,0.092739018,0.06601212,0.711805251,1.60419335
Urban36,0.217165382,0.663596168,0.052599896,0.201860683,0.11961415,0.25132205,7.65497964,1.23593452,-0.06424467,-0.047493209,-0.053243704,0.098413884,0.101296296,0.104055556,0.038622222,0.371169243,3.0306207
Urban37,0.224248685,-0.609919137,0.088957704,0.147392906,0.140266826,0.326557819,7.251991638,1.230769231,-0.049256737,-0.088086588,0.062517848,0.010149085,0.115992593,0.089796296,0.03357037,0.373850276,1.905432062
Urban38,0.203642989,0.971654568,0.071304369,0.168681797,0.169160701,0.252453389,7.659626086,1.123076923,-0.067079217,-0.052614664,0.016797224,0.063377316,0.134088889,0.096707407,0.026503704,0.274060745,2.989066508
Urban39,0.14200207,-1.099522821,0.10083813,0.349443224,0.10593131,0.233579265,7.148464105,1.792370042,-0.037912771,-0.041625099,0.052978915,-0.028106904,0.110585185,0.076085185,0.072644444,0.95477778,2.368038054
Urban40,0.147299611,0.642678437,0.063064398,0.347136284,0.187811789,0.277279859,7.378733832,2.995350629,-0.065580497,-0.029891073,0.168273828,-0.022291851,0.107733628,0.080978661,0.075637846,0.934046637,1.889824006
Urban41,0.217147522,-0.671248261,0.06169052,0.153746697,0.107137335,0.252933332,7.619015835,1.40420314,-0.058062222,-0.036423802,-0.076661993,0.217840043,0.091148148,0.125466667,0.024974074,0.199049473,2.786108434
Urban42,0.224553592,-2.427187121,0.097082939,0.09439014,0.15051067,0.288910563,6.871592274,1.262238985,-0.046554087,-0.110565468,0.102103811,0.008744578,0.114762963,0.086188889,0.047644444,0.552791022,1.902772288
Urban43,0.203364102,0.460806988,0.06204236,0.247306506,0.141751241,0.288387312,7.623594879,1.215384615,-0.068717699,-0.043520915,-0.000771177,0.056047088,0.10337037,0.10317037,0.044751852,0.433766516,2.453786531
Urban44,0.209435407,0.792952297,0.064525026,0.093025681,0.107969911,0.251434409,7.687678003,1.366278302,-0.068976877,-0.022860592,0.016091622,0.079741213,0.124762963,0.111425926,0,0,3.344241894
Urban45,0.218571943,-1.742540301,0.076967119,0.203173511,0.115236198,0.26882449,7.267555992,1.262939508,-0.05454599,-0.071448888,-0.044841505,0.168229661,0.052311111,0.105418519,0.108785185,1.031936191,2.317869798
Urban46,0.228113502,-1.477784973,0.082496765,0.29166971,0.150951878,0.305469825,7.009503804,2.127816763,-0.05076963,-0.115412937,0.061519533,0.052000368,0.035757576,0.088558758,0.138155169,1.560039595,3.348890655
Urban47,0.215178927,-0.719421441,0.081692187,0.177658123,0.147910415,0.222181221,7.579604702,1.366263631,-0.056632155,-0.036503613,0.029988333,0.038065715,0.10933039,0.121961001,0.048739392,0.399630961,3.117589118
Urban48,0.17371203,1.989974228,0.070335297,0.169217505,0.132664706,0.247231586,7.636040859,3.54955499,-0.072993416,0.013046089,0.0526711,-0.019750365,0.05242963,0.101711111,0.126959259,1.248233922,3.133474908
Urban49,0.217909863,0.749780186,0.085003553,0.125940532,0.093984391,0.306467717,6.828396997,1.26093452,-0.061486865,-0.04490909,0.017984685,-0.027397659,0.099192593,0.0831,0.076362963,0.918928556,2.311135733
Urban50,0.228429474,-0.498256598,0.072721739,0.125352936,0.104360811,0.304829866,7.705326664,1.552391315,-0.058135347,-0.04445363,-0.072136702,0.168815093,0.078088889,0.110585185,0.037351852,0.337765425,3.81590292
MDS1,0.223924999,0.64173439,0.348756197,0.163421983,0.285897851,0.280351541,7.938805309,2.379774072,-0.049256018,0.00913088,-0.084550971,-0.014886086,0.034964682,0.143434418,0.152297859,1.06179438,4.450432798
MDS2,0.203173145,0.205653317,0.426894925,0.160806554,0.252514163,0.266778115,7.851719763,2.724473079,-0.047919078,-0.023284376,-0.069752101,0.040319304,0.072520568,0.122248917,0.140611517,1.150206648,4.603360009
MDS3,0.192921593,0.111564944,0.565566996,0.142328126,0.299256367,0.255413015,7.795435796,3.230626931,-0.053202245,0.059034977,-0.01201901,-0.050624445,0.045084635,0.139822001,0.186790104,1.335913538,4.934808608
MDS4,0.277590397,1.518200549,0.276865206,0.259056212,0.188206895,0.31792712,7.674892313,2.798602621,-0.068579218,-0.017852348,0.016953649,-0.00840478,0.035882266,0.120969188,0.148695701,1.229203101,3.36872997
MDS5,0.253816846,0.473994557,0.457032682,0.254717429,0.278210826,0.262925794,7.741268184,2.705260648,-0.030835793,0.001760601,-0.027668827,-0.024550501,0.016134635,0.12701505,0.186393006,1.467487562,3.896745342
MDS6,0.2066055,0.62766333,0.411149511,0.222090465,0.244188597,0.26811324,7.816286647,2.691476356,-0.043491063,-0.018049113,0.025046573,-0.048070453,0.018244351,0.131791095,0.192527128,1.460850811,3.311110055
MDS7,0.162120737,-1.384318765,0.712573486,0.045852297,0.209357437,0.215553393,7.482651613,6.005324221,-0.025923285,-0.022083836,-0.029748899,-0.084287282,0.027175724,0.16329992,0.248414807,1.521218179,4.55018137
MDS8,0.180439625,0.518617045,0.414441247,0.079483094,0.22101246,0.201861859,7.634423433,5.54738618,-0.042935776,0.011483089,-0.058709366,-0.087141883,0.024637561,0.180215641,0.20407861,1.132413418,4.592376207
MDS9,0.200477779,0.124680909,0.462554787,0.083068887,0.242955437,0.203187035,7.652068099,6.161731625,-0.044834543,-0.015852653,-0.087059049,-0.003699872,0.029634259,0.175774844,0.203991773,1.160528824,4.57585997
MDS10,0.325814414,-0.555539622,0.326030374,0.219923552,0.284537811,0.305824294,7.805361714,4.955217859,-0.05996542,-0.029617449,0.05750362,-0.00455022,0.030886332,0.116551081,0.145503123,1.248406465,5.249355591
MDS11,0.298290108,-0.814760305,0.280947471,0.176260013,0.182339583,0.250011093,7.749249147,3.320950903,-0.049440237,-0.015318538,-0.033573561,-0.052727485,0.031653086,0.152422587,0.184172074,1.208299095,3.675257096
MDS12,0.317991291,-1.389944506,0.29447345,0.229747631,0.24843823,0.323200352,7.515257493,4.679764291,-0.023515673,-0.092372526,-0.043370086,-0.069845576,0.020523071,0.110467275,0.151823441,1.374374818,5.218346952
MDS13,0.195893676,-0.719866921,0.32621874,0.194886813,0.263361135,0.261095462,7.863783297,3.360319689,-0.044646213,-0.059387327,-0.030694106,-0.062198544,0.035341899,0.1332798,0.143701315,1.078192757,4.572816087
MDS14,0.201231272,-1.206841681,0.570064768,0.090734134,0.279061051,0.238690008,7.650613305,3.776125972,-0.042408509,-0.049475662,-0.075319134,-0.108762796,0.02104205,0.137132353,0.201144874,1.466793719,4.109050013
MDS15,0.174485497,-0.803888935,0.563888717,0.148535059,0.227807579,0.258988922,7.58991309,3.413644922,-0.031671604,-0.021036331,-0.055078497,3.56E-05,0.03584256,0.135373296,0.195973127,1.447649816,4.551577517
MDS16,0.151689861,2.07128284,0.358936791,0.170167438,0.261241087,0.225372993,7.750548801,1.420888552,-0.049112954,-0.088840387,0.077456406,-0.031714499,0.080689225,0.10385188,0.095036406,0.915114931,4.461021932
MDS17,0.369480919,-0.25457939,0.183601148,0.323246908,0.208944208,0.239683738,7.396871419,1.627396205,-0.080701052,-0.028310193,0.057482572,0.010647933,0.085720062,0.109518687,0.081955989,0.748328813,3.832662324
MDS18,0.211711834,1.193357171,0.162410123,0.243916323,0.183455331,0.210288185,7.699277276,1.417868844,-0.06839801,0.018790069,0.014927832,-0.021088143,0.045846897,0.13284573,0.125207366,0.942501998,4.730147059
MDS19,0.501716698,0.40441382,0.188647831,0.288296204,0.181481177,0.309282088,7.754402059,3.916041127,-0.024875529,-0.083543988,-0.012632866,-0.025113251,0.021308899,0.088005702,0.129917542,1.476240051,3.715988957
MDS20,0.214338872,0.6496074,0.315170934,0.174597838,0.23216159,0.348050205,6.927434234,2.818047337,-0.019818284,-0.038894163,-0.066479295,-0.052553663,0.023145818,0.12603018,0.180333114,1.430872462,3.726532872
MDS21,0.31384914,-0.596830469,0.291927399,0.180994207,0.174587845,0.273915463,7.712589644,3.594607316,-0.054859793,-0.036647469,-0.027419318,-0.04322818,0.051290264,0.109294216,0.129333103,1.183348101,4.089119061
MDS22,0.296966648,-0.456205648,0.303172617,0.180138366,0.177605064,0.231274828,7.746887595,3.672453421,-0.0488141,-0.023934261,-0.060160696,-0.071126508,0.018670502,0.161980692,0.179806228,1.110047289,4.232612307
MDS23,0.180160383,0.03047904,0.531567312,0.061708831,0.247375368,0.281788255,7.890857553,4.592302802,-0.038039953,-0.030935154,-0.056342265,-0.100222997,0.024421692,0.170047124,0.219229777,1.289229549,4.462119098
MDS24,0.193059866,-0.942526177,0.321227529,0.133096424,0.26255453,0.281319588,7.292978984,3.590297814,-0.017928391,-0.015265966,-0.021458302,-0.05023689,0.030174255,0.146352768,0.179397344,1.225787161,4.042412926
