,MedianHHIncome,PC1
500,154792,-0.225426
501,154792,-0.318361721
502,154792,-0.087705169
503,154792,-0.358643169
504,128981,0.114148722
505,128981,0.368734553
506,128981,0.225474409
507,128981,0.12169989
508,156500,-0.176940546
509,156500,0.060414811
510,156500,-0.108818007
511,156500,-0.094165932
512,143625,0.466221138
513,143625,-0.031567387
514,143625,0.390906333
515,143625,0.188305184
516,91250,-0.125367605
517,91250,-0.545570878
518,91250,-0.417534958
519,91250,-0.221685042
520,106333,-0.038251921
521,106333,0.126237952
522,106333,-0.490229359
523,106333,0.073013571
524,120709,-0.234817129
525,120709,0.691873092
526,120709,0.012009613
527,120709,0.42042494
528,120709,-0.253248038
529,120709,-0.215526532
530,120709,0.073894289
531,120709,-0.328834168
532,90952,-0.156609989
533,90952,0.313468555
534,90952,-0.140375883
535,90952,0.245103623
536,142225,0.366886136
537,142225,0.11310398
538,142225,-0.475880561
539,142225,-0.434840339
540,142225,-0.127984281
541,142225,0.142997638
542,142225,-0.557451714
543,142225,-0.095403128
544,142225,0.309673098
545,142225,0.231764236
546,142225,0.341197121
547,142225,-0.239694314
548,34767,-0.428807168
549,34767,-0.268041173
550,34767,-0.365130051
551,34767,-0.493748423
