Image_ID,Walkability,Preference,Imageability,Complexity,Enclosure,Transparency,Humanscale,Humanscale2,Order,Order2
1,0.266666666666667,0.262295081967213,0.277777777777778,0.241379310344828,0.278688524590164,0.375,0.233333333333333,0.428571428571429,0.254237288135593,0.222222222222222
2,0.716666666666667,0.704918032786885,0.722222222222222,0.844827586206897,0.19672131147541,0.589285714285714,0.2,0.160714285714286,0.355932203389831,0.349206349206349
3,0.333333333333333,0.327868852459016,0.296296296296296,0.5,0.475409836065574,0.785714285714286,0.383333333333333,0.285714285714286,0.288135593220339,0.301587301587302
4,0.566666666666667,0.60655737704918,0.592592592592593,0.689655172413793,0.377049180327869,0.696428571428571,0.316666666666667,0.321428571428571,0.440677966101695,0.26984126984127
5,0.166666666666667,0.295081967213115,0.259259259259259,0.5,0.131147540983607,0.142857142857143,0.233333333333333,0.160714285714286,0.220338983050847,0.46031746031746
6,0.55,0.59016393442623,0.666666666666667,0.551724137931034,0.262295081967213,0.410714285714286,0.116666666666667,0.285714285714286,0.288135593220339,0.317460317460317
7,0.166666666666667,0.262295081967213,0.222222222222222,0.327586206896552,0.409836065573771,0.267857142857143,0.333333333333333,0.357142857142857,0.508474576271186,0.349206349206349
8,0.116666666666667,0.147540983606557,0.166666666666667,0.379310344827586,0.245901639344262,0.625,0.2,0.142857142857143,0.288135593220339,0.666666666666667
9,0.133333333333333,0.19672131147541,0.222222222222222,0.46551724137931,0.262295081967213,0.732142857142857,0.233333333333333,0.482142857142857,0.288135593220339,0.492063492063492
10,0.116666666666667,0.19672131147541,0.277777777777778,0.0862068965517241,0.213114754098361,0.125,0.416666666666667,0.5,0.457627118644068,0.174603174603175
11,0.316666666666667,0.262295081967213,0.222222222222222,0.189655172413793,0.278688524590164,0.0535714285714286,0.333333333333333,0.625,0.389830508474576,0.19047619047619
12,0.133333333333333,0.131147540983607,0.203703703703704,0.344827586206897,0.19672131147541,0.785714285714286,0.35,0.517857142857143,0.288135593220339,0.650793650793651
13,0.2,0.295081967213115,0.240740740740741,0.310344827586207,0.278688524590164,0.0357142857142857,0.383333333333333,0.285714285714286,0.389830508474576,0.174603174603175
14,0.183333333333333,0.245901639344262,0.185185185185185,0.258620689655172,0.163934426229508,0.357142857142857,0.15,0.303571428571429,0.152542372881356,0.682539682539683
15,0.283333333333333,0.0983606557377049,0.185185185185185,0.396551724137931,0.114754098360656,0.5,0.283333333333333,0.25,0.322033898305085,0.507936507936508
16,0.1,0.114754098360656,0.12962962962963,0.120689655172414,0.19672131147541,0.339285714285714,0.15,0.392857142857143,0.220338983050847,0.333333333333333
17,0.183333333333333,0.377049180327869,0.333333333333333,0.258620689655172,0.213114754098361,0.0535714285714286,0.183333333333333,0.357142857142857,0.525423728813559,0.238095238095238
18,0.45,0.39344262295082,0.407407407407407,0.396551724137931,0.180327868852459,0.339285714285714,0.133333333333333,0.0892857142857143,0.203389830508475,0.396825396825397
19,0.466666666666667,0.39344262295082,0.277777777777778,0.189655172413793,0.163934426229508,0.0714285714285714,0.283333333333333,0.214285714285714,0.406779661016949,0.142857142857143
20,0.583333333333333,0.377049180327869,0.296296296296296,0.258620689655172,0.262295081967213,0.214285714285714,0.183333333333333,0.232142857142857,0.440677966101695,0.0952380952380952
21,0.1,0.163934426229508,0.037037037037037,0.224137931034483,0.180327868852459,0.5,0.266666666666667,0.410714285714286,0.305084745762712,0.396825396825397
22,0.25,0.213114754098361,0.166666666666667,0.172413793103448,0.163934426229508,0.285714285714286,0.216666666666667,0.392857142857143,0.322033898305085,0.333333333333333
23,0.283333333333333,0.180327868852459,0.12962962962963,0.310344827586207,0.114754098360656,0.303571428571429,0.333333333333333,0.321428571428571,0.372881355932203,0.492063492063492
24,0.183333333333333,0.229508196721311,0.12962962962963,0.0517241379310345,0.311475409836066,0.107142857142857,0.4,0.392857142857143,0.203389830508475,0.428571428571429
25,0.233333333333333,0.213114754098361,0.259259259259259,0.224137931034483,0.163934426229508,0.321428571428571,0.416666666666667,0.392857142857143,0.254237288135593,0.333333333333333
26,0.3,0.295081967213115,0.351851851851852,0.379310344827586,0.344262295081967,0.357142857142857,0.45,0.392857142857143,0.338983050847458,0.19047619047619
27,0.25,0.245901639344262,0.240740740740741,0.344827586206897,0.262295081967213,0.607142857142857,0.366666666666667,0.464285714285714,0.305084745762712,0.507936507936508
28,0.3,0.491803278688525,0.314814814814815,0.155172413793103,0.147540983606557,0.0892857142857143,0.25,0.267857142857143,0.254237288135593,0.222222222222222
29,0.316666666666667,0.327868852459016,0.296296296296296,0.293103448275862,0.344262295081967,0.160714285714286,0.333333333333333,0.25,0.355932203389831,0.142857142857143
30,0.566666666666667,0.39344262295082,0.388888888888889,0.155172413793103,0.245901639344262,0.0178571428571429,0.383333333333333,0.160714285714286,0.457627118644068,0.158730158730159
31,0.583333333333333,0.737704918032787,0.611111111111111,0.379310344827586,0.344262295081967,0.107142857142857,0.266666666666667,0.339285714285714,0.474576271186441,0.126984126984127
32,0.3,0.442622950819672,0.333333333333333,0.413793103448276,0.311475409836066,0.125,0.366666666666667,0.214285714285714,0.423728813559322,0.26984126984127
33,0.3,0.327868852459016,0.314814814814815,0.413793103448276,0.245901639344262,0.678571428571429,0.65,0.232142857142857,0.355932203389831,0.238095238095238
34,0.25,0.229508196721311,0.481481481481481,0.551724137931034,0.557377049180328,0.517857142857143,0.416666666666667,0.196428571428571,0.305084745762712,0.444444444444444
35,0.316666666666667,0.459016393442623,0.333333333333333,0.46551724137931,0.327868852459016,0.553571428571429,0.366666666666667,0.178571428571429,0.491525423728814,0.285714285714286
36,0.316666666666667,0.377049180327869,0.537037037037037,0.551724137931034,0.573770491803279,0.535714285714286,0.333333333333333,0.339285714285714,0.406779661016949,0.253968253968254
37,0.266666666666667,0.131147540983607,0.166666666666667,0.172413793103448,0.180327868852459,0.214285714285714,0.283333333333333,0.125,0.372881355932203,0.301587301587302
38,0.6,0.459016393442623,0.481481481481481,0.344827586206897,0.262295081967213,0.357142857142857,0.283333333333333,0.375,0.389830508474576,0.349206349206349
39,0.683333333333333,0.622950819672131,0.37037037037037,0.482758620689655,0.655737704918033,0.482142857142857,0.4,0.553571428571429,0.338983050847458,0.158730158730159
40,0.55,0.475409836065574,0.537037037037037,0.413793103448276,0.327868852459016,0.160714285714286,0.266666666666667,0.107142857142857,0.474576271186441,0.142857142857143
41,0.483333333333333,0.672131147540984,0.444444444444444,0.258620689655172,0.327868852459016,0.107142857142857,0.533333333333333,0.107142857142857,0.525423728813559,0.126984126984127
42,0.666666666666667,0.688524590163934,0.462962962962963,0.293103448275862,0.59016393442623,0.142857142857143,0.45,0.375,0.423728813559322,0.111111111111111
43,0.233333333333333,0.295081967213115,0.240740740740741,0.0689655172413793,0.524590163934426,0.142857142857143,0.366666666666667,0.303571428571429,0.525423728813559,0.126984126984127
44,0.566666666666667,0.655737704918033,0.296296296296296,0.224137931034483,0.540983606557377,0.125,0.366666666666667,0.178571428571429,0.423728813559322,0.0793650793650794
45,0.483333333333333,0.573770491803279,0.666666666666667,0.413793103448276,0.377049180327869,0.196428571428571,0.416666666666667,0.392857142857143,0.406779661016949,0.142857142857143
46,0.383333333333333,0.442622950819672,0.314814814814815,0.275862068965517,0.524590163934426,0.375,0.416666666666667,0.732142857142857,0.423728813559322,0.333333333333333
47,0.533333333333333,0.311475409836066,0.296296296296296,0.362068965517241,0.19672131147541,0.178571428571429,0.266666666666667,0.178571428571429,0.389830508474576,0.285714285714286
48,0.233333333333333,0.213114754098361,0.166666666666667,0.0344827586206897,0.163934426229508,0.428571428571429,0.216666666666667,0.5,0.288135593220339,0.111111111111111
49,0.5,0.508196721311475,0.481481481481481,0.137931034482759,0.147540983606557,0.125,0.316666666666667,0.0178571428571429,0.525423728813559,0.0793650793650794
50,0.3,0.344262295081967,0.611111111111111,0.482758620689655,0.557377049180328,0.178571428571429,0.416666666666667,0.428571428571429,0.355932203389831,0.333333333333333
51,0.1,0.229508196721311,0.185185185185185,0.103448275862069,0.459016393442623,0.107142857142857,0.333333333333333,0.446428571428571,0.491525423728814,0.206349206349206
52,0.433333333333333,0.278688524590164,0.407407407407407,0.224137931034483,0.409836065573771,0.428571428571429,0.283333333333333,0.375,0.372881355932203,0.206349206349206
53,0.4,0.409836065573771,0.296296296296296,0.517241379310345,0.639344262295082,0.303571428571429,0.4,0.357142857142857,0.203389830508475,0.53968253968254
