,MedianHHIncome,Walkability,Preference,Imageability,Complexity,Enclosure,Transparency,Humanscale,Disorder
34,68214,NaN0.0870387431586941,0.676686553,NaN0.0103096544042018,0.738343327,NaN0.0399369114159493,0.957401837,NaN0.999562546901818,NaN0.327339255091281
35,68214,NaN0.0870387431586941,0.229665278,1.19354076,1.229267822,1.423238427,0.878381829,0.02855893,NaN0.533020835979602
36,131181,NaN0.328069108828928,NaN1.11139854677242,NaN0.995278175174708,NaN0.93079995864151,NaN0.917842114577108,NaN0.54397831631006,NaN1.34226970583958,NaN0.22449846464712
37,131181,1.278799996,0.676686553,0.86521792,0.051049033,NaN0.430117001709797,0.088181748,0.257030369,0.084023907
38,131181,1.680517272,1.570729103,0.208572239,0.836528226,1.91096354,0.641321804,1.399387566,NaN1.15006557864455
39,131181,1.03776963,0.766090808,1.19354076,0.443788629,NaN0.0399369114159493,NaN0.781038340470441,NaN1.45650542548551,NaN1.25290636908871
40,64792,0.716395809,1.838941868,0.646336026,NaN0.439875462969704,NaN0.0399369114159493,NaN1.01809836463082,NaN1.45650542548551,NaN1.35574715953288
41,64792,1.600173817,1.928346123,0.755776973,NaN0.243505664700979,1.52078345,NaN0.860058348523903,0.257030369,NaN1.45858794997704
42,64792,NaN0.488756019275754,NaN0.217355996760213,NaN0.557514388165592,NaN1.51990935344767,1.130603359,NaN0.860058348523903,NaN0.199912509380361,NaN1.35574715953288
43,64792,1.118113085,1.749537613,NaN0.229191547908759,NaN0.636245261238423,1.228148382,NaN0.939078356577365,NaN0.999562546901818,NaN1.66426953086535
44,61216,0.716395809,1.302516338,1.959627387,0.443788629,0.252698156,NaN0.622998324363522,0.371266089,NaN1.25290636908871
45,61216,0.234335078,0.587282298,NaN0.119750601156477,NaN0.341690563835342,1.130603359,0.167201756,2.541744762,NaN0.018816883758806
46,61216,0.957426175,NaN0.127951741758991,NaN0.229191547908759,0.149233932,NaN0.820297092003645,NaN0.702018332416979,NaN0.999562546901818,NaN0.327339255091281
47,61216,NaN0.488756019275754,NaN0.664377271766318,NaN0.995278175174708,NaN1.71627915171639,NaN1.01538713715057,0.40426178,1.056680407,NaN1.45858794997704
48,78333,0.796739264,0.944899318,0.86521792,NaN1.12716975691022,NaN1.11293215972403,NaN0.939078356577365,NaN2.02768402371512,NaN1.66426953086535
