,MedianHHIncome,Walkability,Preference,Imageability,Complexity,Enclosure,Transparency,Humanscale,Disorder
184,91920,2.001891093,1.660133358,1.412422653,0.738343327,0.935513314,NaN1.41319840489813,0.02855893,NaN1.45858794997704
185,91920,1.921547637,1.481324848,1.631304547,NaN0.243505664700979,0.447788201,NaN1.09711837268428,NaN0.314148229026284,NaN0.944383997756244
186,91920,1.278799996,1.481324848,1.5218636,0.541973528,0.837968292,NaN1.33417839684467,NaN0.656855387964054,NaN1.35574715953288
187,91920,2.001891093,2.017750378,1.5218636,NaN0.145320765566617,NaN0.332571979136333,NaN1.41319840489813,NaN0.771091107609978,NaN1.5614287404212
188,84696,1.03776963,0.497878043,NaN0.0103096544042018,NaN0.439875462969704,0.837968292,NaN0.54397831631006,NaN0.199912509380361,NaN0.22449846464712
189,84696,1.680517272,1.570729103,1.302981707,NaN0.145320765566617,1.228148382,NaN0.385938300203136,0.599737528,0.495387068
190,84696,1.680517272,2.107154633,0.646336026,NaN0.0471358664322551,1.033058337,NaN0.622998324363522,NaN0.542619668318131,NaN0.944383997756244
191,84696,0.796739264,0.229665278,NaN0.338632494661035,NaN0.734430160372785,0.545333224,NaN0.622998324363522,0.942444687,NaN0.327339255091281
192,149113,NaN0.970816750616223,NaN1.0219942917712,NaN1.32360101543154,NaN1.51990935344767,0.155153134,NaN0.939078356577365,NaN0.542619668318131,NaN0.018816883758806
193,149113,NaN1.13150366106304,NaN0.664377271766318,NaN0.885837228422432,NaN1.32353955517895,0.545333224,NaN0.939078356577365,0.14279465,NaN0.944383997756244
194,149113,0.475365443,0.766090808,0.974658866,NaN0.341690563835342,1.52078345,NaN0.385938300203136,0.828208967,NaN0.533020835979602
195,149113,NaN0.970816750616223,NaN1.29020705677486,NaN1.21416006867926,NaN0.734430160372785,1.813418517,NaN1.01809836463082,1.742094725,1.935158135
196,143750,NaN1.05116020583963,NaN0.932590036769984,NaN1.10471912192698,NaN0.0471358664322551,NaN0.722752069430181,NaN0.385938300203136,NaN0.885326827255901,0.80390944
197,143750,NaN0.649442929722576,NaN0.664377271766318,NaN0.229191547908759,NaN0.0471358664322551,0.837968292,2.221721966,1.399387566,1.729476554
198,143750,NaN0.810129840169397,NaN1.55841982177853,NaN1.32360101543154,NaN1.02898485777587,0.447788201,NaN1.09711837268428,NaN1.45650542548551,1.009591021
199,143750,NaN1.37253402673327,NaN1.4690155667773,NaN1.21416006867926,NaN1.42172445431331,NaN1.50311225001788,NaN1.09711837268428,NaN1.9134483040692,0.90675023
200,131250,1.19845654,1.391920593,0.974658866,0.149233932,1.033058337,NaN0.54397831631006,NaN0.085676789734444,NaN0.327339255091281
201,131250,NaN0.89047329539281,NaN0.396164506762657,NaN0.338632494661035,NaN0.0471358664322551,1.228148382,0.00916174,NaN0.542619668318131,NaN0.738702416867923
202,131250,0.796739264,0.319069533,0.536895079,1.229267822,0.642878247,1.115441853,NaN0.314148229026284,1.626635763
203,131250,1.03776963,1.123707828,1.19354076,1.229267822,0.935513314,0.878381829,0.02855893,NaN0.738702416867923
204,68500,NaN0.89047329539281,NaN1.20080280177364,NaN0.77639628167015,0.640158428,0.350243179,2.221721966,NaN1.68497686477735,2.037998925
205,68500,1.118113085,1.570729103,1.959627387,1.818377217,1.618328472,1.036421845,NaN0.542619668318131,NaN0.22449846464712
206,68500,0.636052354,0.676686553,0.86521792,2.014747015,0.545333224,1.668581909,NaN0.999562546901818,1.215272602
207,68500,1.278799996,1.481324848,1.85018644,2.407486612,1.91096354,1.747601917,NaN0.771091107609978,0.186864697
208,68500,1.19845654,0.944899318,1.631304547,1.720192318,1.325693405,0.483281788,0.02855893,NaN0.121657674202966
209,68500,1.921547637,2.017750378,1.302981707,2.60385641,NaN0.137481933989406,1.984661941,NaN1.57074114513143,NaN1.15006557864455
210,68500,1.278799996,1.302516338,2.178509281,2.505671511,0.837968292,2.142701958,NaN1.11379826654774,1.009591021
211,68500,1.519830361,0.766090808,1.084099813,1.818377217,0.350243179,1.273481869,NaN1.57074114513143,0.701068649
212,155248,0.234335078,0.140261023,0.86521792,0.640158428,NaN0.137481933989406,NaN0.0698582679892935,NaN1.22803398619366,NaN1.04722478820039
213,155248,0.475365443,0.140261023,0.427454133,0.247418831,1.325693405,0.246221764,NaN0.542619668318131,NaN0.121657674202966
214,155248,0.716395809,0.944899318,0.646336026,1.916562116,2.106053585,1.668581909,NaN0.542619668318131,0.495387068
215,155248,1.19845654,0.944899318,1.19354076,1.818377217,0.545333224,0.562301796,NaN2.02768402371512,NaN0.635861626423762
216,88942,1.19845654,1.391920593,1.302981707,2.211116814,NaN0.23502695656287,1.984661941,NaN0.656855387964054,1.523794973
217,88942,1.278799996,1.034303573,1.412422653,2.407486612,1.618328472,1.984661941,0.14279465,1.215272602
218,88942,1.600173817,1.749537613,1.5218636,0.934713125,0.837968292,0.40426178,NaN0.314148229026284,NaN0.327339255091281
219,88942,0.957426175,0.855495063,0.318013186,1.131082923,1.130603359,0.641321804,NaN1.34226970583958,NaN0.944383997756244
220,105168,1.439486906,0.408473788,0.318013186,NaN0.636245261238423,0.057608111,0.641321804,NaN1.45650542548551,0.084023907
221,105168,2.162578003,1.570729103,1.740745494,1.425637621,2.203598608,0.246221764,0.14279465,NaN1.35574715953288
222,105168,NaN0.167382198382107,NaN0.396164506762657,NaN0.885837228422432,NaN0.439875462969704,0.545333224,1.510541893,NaN0.771091107609978,1.523794973
223,105168,NaN1.5332209371801,NaN1.0219942917712,NaN0.995278175174708,NaN1.22535465604459,0.642878247,0.641321804,NaN0.771091107609978,0.90675023
224,105168,NaN1.21184711628645,NaN0.664377271766318,NaN0.448073441413317,0.836528226,0.057608111,1.352501877,NaN0.885326827255901,2.037998925
225,105168,NaN0.0870387431586941,NaN0.0385474867577751,NaN0.0103096544042018,NaN0.832615059507148,NaN0.137481933989406,NaN0.385938300203136,NaN0.771091107609978,NaN0.841543207312084
226,105168,0.555708899,NaN0.396164506762657,NaN0.666955334917874,1.327452721,1.715873495,1.273481869,NaN0.199912509380361,0.392546278
227,105168,NaN0.167382198382107,0.050856768,NaN1.10471912192698,0.34560373,0.252698156,0.641321804,NaN1.57074114513143,0.186864697
228,105168,NaN0.649442929722576,NaN0.664377271766318,NaN0.77639628167015,0.247418831,1.130603359,0.641321804,NaN0.999562546901818,0.289705488
229,105168,NaN0.488756019275754,NaN0.75378152676754,NaN0.995278175174708,NaN1.61809425258203,1.813418517,NaN1.17613838073774,NaN0.199912509380361,NaN0.121657674202966
230,105168,1.680517272,2.017750378,1.85018644,2.505671511,0.350243179,1.668581909,NaN1.22803398619366,1.215272602
231,105168,1.359143451,1.302516338,1.959627387,2.014747015,NaN0.137481933989406,2.221721966,NaN1.22803398619366,0.495387068
232,171538,1.680517272,1.302516338,2.397391174,2.014747015,1.91096354,1.431521885,0.02855893,NaN0.018816883758806
233,171538,1.278799996,1.213112083,1.740745494,2.60385641,NaN0.23502695656287,2.379761982,NaN1.22803398619366,1.215272602
234,171538,0.234335078,0.050856768,0.318013186,0.149233932,0.837968292,NaN0.0698582679892935,NaN0.999562546901818,0.289705488
235,171538,NaN0.24772565360552,0.140261023,NaN0.0103096544042018,NaN0.636245261238423,0.545333224,0.00916174,NaN1.79921258442327,0.598227859
236,72098,1.921547637,1.391920593,1.302981707,1.131082923,NaN0.722752069430181,0.957401837,NaN1.57074114513143,NaN0.121657674202966
237,72098,0.073648167,0.497878043,NaN0.119750601156477,NaN0.243505664700979,0.057608111,0.878381829,NaN0.771091107609978,0.084023907
238,72098,0.636052354,NaN0.485568761763879,NaN0.77639628167015,NaN0.636245261238423,0.935513314,0.720341813,0.14279465,0.289705488
239,72098,NaN1.13150366106304,NaN0.75378152676754,NaN1.5424829089361,NaN0.93079995864151,1.52078345,0.562301796,NaN0.199912509380361,1.626635763
240,72098,NaN0.0066952879352856,0.319069533,0.208572239,NaN0.538060362104061,1.91096354,NaN0.702018332416979,NaN0.085676789734444,NaN1.5614287404212
241,72098,1.600173817,0.050856768,1.412422653,0.34560373,0.057608111,0.483281788,NaN0.999562546901818,NaN1.15006557864455
242,72098,1.680517272,1.391920593,0.755776973,1.327452721,1.91096354,1.036421845,NaN1.34226970583958,0.084023907
243,72098,NaN1.29219057150986,NaN1.11139854677242,NaN0.77639628167015,0.051049033,0.642878247,0.325241772,NaN1.11379826654774,NaN0.533020835979602
244,156958,0.234335078,0.229665278,0.646336026,0.934713125,1.618328472,NaN0.227898284096212,NaN0.885326827255901,NaN0.635861626423762
245,156958,0.636052354,1.660133358,1.19354076,NaN0.0471358664322551,NaN0.52766202428326,NaN0.227898284096212,NaN1.34226970583958,NaN1.66426953086535
246,156958,NaN0.0870387431586941,0.408473788,NaN0.0103096544042018,NaN0.341690563835342,0.350243179,NaN0.148878276042751,NaN0.656855387964054,NaN1.25290636908871
247,156958,1.118113085,0.676686553,0.974658866,NaN0.538060362104061,NaN0.52766202428326,NaN0.0698582679892935,NaN0.999562546901818,NaN0.841543207312084
248,137151,NaN0.488756019275754,0.140261023,0.536895079,0.34560373,0.837968292,0.641321804,NaN0.656855387964054,0.495387068
249,137151,0.234335078,0.497878043,0.646336026,1.818377217,0.740423269,1.747601917,NaN0.885326827255901,0.90675023
250,137151,0.234335078,0.497878043,0.974658866,1.622007419,2.008508563,1.589561901,NaN0.428383948672207,1.832317344
251,137151,0.395021988,0.497878043,0.86521792,1.131082923,2.203598608,NaN0.306918292149674,0.599737528,NaN0.533020835979602
252,137151,1.600173817,1.123707828,0.755776973,1.229267822,2.30114363,0.483281788,NaN0.199912509380361,NaN0.430180045535442
253,137151,NaN0.488756019275754,NaN0.127951741758991,0.86521792,0.149233932,2.203598608,NaN0.148878276042751,0.02855893,NaN0.944383997756244
254,137151,1.359143451,0.944899318,1.740745494,1.032898024,2.30114363,0.325241772,0.599737528,NaN0.121657674202966
255,137151,0.475365443,0.140261023,0.974658866,NaN0.734430160372785,2.30114363,NaN0.148878276042751,NaN0.314148229026284,NaN0.533020835979602
256,137151,0.555708899,0.587282298,1.302981707,0.934713125,1.91096354,NaN0.227898284096212,NaN0.999562546901818,NaN1.15006557864455
257,137151,0.716395809,0.497878043,1.740745494,2.407486612,1.715873495,1.510541893,NaN0.656855387964054,0.289705488
258,137151,NaN1.21184711628645,NaN0.843185781768762,NaN0.77639628167015,NaN0.538060362104061,NaN0.23502695656287,NaN0.939078356577365,NaN1.22803398619366,NaN0.22449846464712
259,137151,NaN0.970816750616223,NaN0.574973016765101,NaN0.448073441413317,0.247418831,1.618328472,0.957401837,0.828208967,0.90675023
260,198380,NaN0.0870387431586941,NaN0.127951741758991,NaN0.885837228422432,NaN0.734430160372785,1.52078345,NaN1.01809836463082,1.170916126,NaN1.35574715953288
261,198380,0.395021988,0.587282298,0.536895079,0.443788629,0.935513314,1.352501877,1.856330444,0.186864697
262,198380,NaN0.24772565360552,NaN0.396164506762657,NaN0.666955334917874,NaN1.61809425258203,1.813418517,NaN1.25515838879121,1.513623285,NaN1.5614287404212
263,198380,1.600173817,1.034303573,1.084099813,0.247418831,0.252698156,NaN0.148878276042751,1.513623285,0.289705488
264,108563,1.439486906,0.497878043,0.536895079,0.149233932,NaN0.820297092003645,NaN1.17613838073774,0.14279465,NaN1.25290636908871
265,108563,NaN0.729786384945989,NaN0.75378152676754,NaN1.21416006867926,NaN1.61809425258203,0.350243179,NaN1.41319840489813,0.371266089,NaN0.738702416867923
266,108563,0.073648167,NaN0.127951741758991,NaN0.666955334917874,NaN0.636245261238423,NaN0.722752069430181,NaN1.33417839684467,0.14279465,NaN0.635861626423762
267,108563,NaN1.21184711628645,NaN0.664377271766318,NaN0.885837228422432,NaN1.02898485777587,NaN0.23502695656287,NaN1.17613838073774,0.942444687,NaN0.533020835979602
268,82917,NaN1.37253402673327,NaN1.29020705677486,NaN1.87080574919294,NaN0.439875462969704,NaN0.52766202428326,NaN0.306918292149674,1.056680407,1.832317344
269,82917,NaN1.05116020583963,NaN1.37961131177608,NaN1.5424829089361,NaN1.42172445431331,NaN0.917842114577108,NaN0.702018332416979,0.713973248,NaN1.04722478820039
270,82917,NaN1.21184711628645,NaN1.55841982177853,NaN1.32360101543154,NaN0.832615059507148,NaN0.917842114577108,0.246221764,0.485501808,1.215272602
271,82917,NaN1.37253402673327,NaN1.11139854677242,NaN1.21416006867926,NaN1.02898485777587,NaN0.722752069430181,NaN0.622998324363522,2.313273323,0.80390944
272,70169,1.760860727,1.391920593,0.646336026,0.149233932,0.837968292,NaN0.148878276042751,1.513623285,NaN1.04722478820039
273,70169,1.519830361,2.017750378,0.646336026,0.34560373,1.228148382,NaN0.781038340470441,1.056680407,NaN1.15006557864455
274,70169,0.555708899,1.034303573,0.646336026,NaN0.0471358664322551,1.130603359,0.088181748,1.513623285,NaN0.738702416867923
275,70169,NaN1.05116020583963,NaN0.843185781768762,NaN1.32360101543154,NaN1.81446405085076,NaN1.21047718229749,NaN1.41319840489813,NaN0.314148229026284,NaN0.841543207312084
276,72039,NaN1.05116020583963,NaN1.29020705677486,NaN1.5424829089361,NaN0.243505664700979,0.545333224,0.720341813,1.170916126,0.598227859
277,72039,NaN0.810129840169397,NaN0.843185781768762,NaN0.119750601156477,0.640158428,NaN0.917842114577108,1.668581909,NaN0.656855387964054,1.626635763
278,72039,NaN0.649442929722576,NaN0.843185781768762,NaN0.885837228422432,0.247418831,NaN0.917842114577108,NaN1.01809836463082,NaN1.22803398619366,0.598227859
279,72039,NaN0.810129840169397,NaN1.11139854677242,NaN0.77639628167015,NaN0.538060362104061,NaN1.40556722744442,0.878381829,0.257030369,NaN0.018816883758806
280,66307,NaN1.29219057150986,NaN0.75378152676754,NaN1.21416006867926,NaN0.439875462969704,NaN1.21047718229749,NaN0.54397831631006,NaN1.34226970583958,0.80390944
281,66307,0.153991623,NaN0.217355996760213,NaN1.10471912192698,NaN1.12716975691022,NaN1.30802220487095,NaN1.01809836463082,NaN1.34226970583958,NaN1.45858794997704
282,66307,NaN0.89047329539281,NaN0.75378152676754,NaN0.995278175174708,NaN1.71627915171639,NaN1.21047718229749,NaN1.41319840489813,NaN0.885326827255901,NaN0.533020835979602
283,66307,NaN0.89047329539281,NaN0.396164506762657,NaN0.666955334917874,NaN1.22535465604459,NaN1.60065727259134,NaN1.33417839684467,NaN0.656855387964054,NaN0.430180045535442
284,66307,NaN1.37253402673327,NaN0.75378152676754,NaN0.995278175174708,NaN1.42172445431331,NaN0.722752069430181,NaN1.41319840489813,NaN0.771091107609978,NaN0.018816883758806
285,66307,NaN1.5332209371801,NaN1.11139854677242,NaN1.32360101543154,NaN1.71627915171639,NaN0.625207046856724,NaN1.17613838073774,NaN0.656855387964054,0.392546278
286,66307,NaN1.05116020583963,NaN1.11139854677242,NaN1.43304196218382,NaN1.42172445431331,NaN0.820297092003645,NaN0.385938300203136,NaN0.314148229026284,NaN0.121657674202966
287,66307,NaN1.37253402673327,NaN1.37961131177608,NaN1.76136480244066,NaN1.61809425258203,NaN0.625207046856724,NaN1.09711837268428,0.02855893,NaN0.22449846464712
288,90250,NaN1.05116020583963,NaN1.55841982177853,NaN1.32360101543154,NaN1.91264894998512,NaN1.11293215972403,NaN1.17613838073774,0.371266089,0.186864697
289,90250,NaN0.408412564052341,NaN0.75378152676754,NaN0.0103096544042018,NaN0.538060362104061,NaN1.21047718229749,0.167201756,0.485501808,0.186864697
290,90250,NaN1.37253402673327,NaN1.29020705677486,NaN1.5424829089361,NaN1.51990935344767,NaN1.21047718229749,NaN0.860058348523903,NaN0.656855387964054,NaN0.018816883758806
291,90250,NaN0.729786384945989,NaN1.0219942917712,NaN0.448073441413317,NaN0.538060362104061,0.057608111,0.00916174,0.371266089,NaN0.944383997756244
292,75469,NaN1.21184711628645,NaN1.0219942917712,NaN0.885837228422432,NaN1.32353955517895,0.057608111,NaN0.939078356577365,0.942444687,NaN0.018816883758806
293,75469,NaN0.970816750616223,NaN1.20080280177364,NaN0.666955334917874,NaN0.145320765566617,NaN1.30802220487095,0.957401837,NaN0.314148229026284,0.392546278
294,75469,NaN0.89047329539281,NaN1.4690155667773,NaN0.995278175174708,NaN0.734430160372785,NaN0.332571979136333,NaN0.781038340470441,NaN0.542619668318131,NaN1.15006557864455
295,75469,NaN0.89047329539281,NaN0.843185781768762,NaN0.77639628167015,0.247418831,NaN0.52766202428326,1.510541893,NaN0.085676789734444,0.90675023
296,85097,0.716395809,0.587282298,0.86521792,NaN0.832615059507148,NaN1.30802220487095,NaN1.41319840489813,NaN1.11379826654774,NaN0.018816883758806
297,85097,NaN1.21184711628645,NaN1.29020705677486,NaN0.995278175174708,NaN1.42172445431331,NaN1.50311225001788,NaN1.33417839684467,0.14279465,NaN0.121657674202966
298,85097,NaN0.408412564052341,0.050856768,0.646336026,1.327452721,0.642878247,0.246221764,1.399387566,1.112431811
299,85097,NaN1.21184711628645,NaN0.485568761763879,NaN0.338632494661035,NaN1.32353955517895,1.228148382,NaN0.860058348523903,NaN0.199912509380361,NaN0.430180045535442
300,41250,NaN0.729786384945989,NaN0.75378152676754,NaN0.119750601156477,0.247418831,NaN0.137481933989406,0.878381829,0.371266089,NaN0.738702416867923
301,41250,0.234335078,0.140261023,NaN0.666955334917874,0.149233932,NaN0.52766202428326,0.40426178,0.14279465,NaN0.841543207312084
302,41250,NaN0.488756019275754,NaN0.396164506762657,NaN0.119750601156477,0.247418831,NaN0.23502695656287,0.088181748,1.056680407,NaN0.533020835979602
303,41250,1.118113085,1.570729103,0.099131292,1.131082923,NaN1.11293215972403,0.00916174,NaN0.314148229026284,NaN1.25290636908871
304,68393,NaN0.328069108828928,NaN0.396164506762657,0.536895079,0.541973528,NaN0.332571979136333,NaN0.306918292149674,1.742094725,0.084023907
305,68393,1.03776963,0.676686553,0.536895079,0.738343327,0.252698156,0.325241772,NaN0.085676789734444,NaN0.635861626423762
306,68393,NaN0.649442929722576,NaN0.396164506762657,NaN0.557514388165592,0.34560373,0.350243179,2.063681949,1.170916126,1.935158135
307,68393,1.19845654,0.676686553,1.084099813,0.738343327,0.642878247,NaN0.227898284096212,1.627859005,NaN0.738702416867923
308,46786,1.841204182,2.017750378,1.302981707,0.443788629,NaN1.01538713715057,NaN0.939078356577365,0.371266089,NaN1.76711032130951
309,46786,NaN0.328069108828928,NaN0.75378152676754,NaN0.885837228422432,NaN1.02898485777587,NaN1.01538713715057,NaN0.306918292149674,0.828208967,NaN0.635861626423762
310,46786,NaN0.970816750616223,NaN0.485568761763879,NaN0.666955334917874,NaN0.439875462969704,NaN0.137481933989406,NaN0.702018332416979,0.02855893,0.80390944
311,46786,NaN0.810129840169397,NaN0.932590036769984,NaN1.43304196218382,NaN0.832615059507148,NaN0.23502695656287,NaN0.385938300203136,0.942444687,NaN0.430180045535442
312,83125,NaN0.167382198382107,0.766090808,NaN0.119750601156477,NaN0.341690563835342,NaN1.50311225001788,NaN0.781038340470441,NaN1.22803398619366,NaN1.35574715953288
313,83125,0.716395809,1.481324848,0.427454133,0.934713125,NaN0.332571979136333,0.325241772,0.02855893,NaN0.533020835979602
314,83125,NaN0.810129840169397,0.140261023,NaN0.119750601156477,0.541973528,0.545333224,2.142701958,1.627859005,1.215272602
315,83125,NaN0.729786384945989,NaN0.75378152676754,NaN0.995278175174708,NaN1.71627915171639,NaN0.722752069430181,NaN1.33417839684467,0.14279465,NaN0.738702416867923
316,84773,NaN0.24772565360552,NaN0.75378152676754,NaN0.885837228422432,0.836528226,NaN1.60065727259134,0.088181748,NaN0.885326827255901,1.318113392
317,84773,1.680517272,0.676686553,0.974658866,1.622007419,NaN0.23502695656287,1.036421845,NaN0.314148229026284,NaN0.533020835979602
318,84773,NaN0.649442929722576,NaN0.485568761763879,NaN0.0103096544042018,0.051049033,NaN0.722752069430181,0.957401837,NaN0.885326827255901,1.626635763
319,84773,NaN0.488756019275754,NaN0.843185781768762,NaN1.10471912192698,NaN1.81446405085076,NaN1.21047718229749,NaN1.41319840489813,NaN0.428383948672207,NaN1.25290636908871
320,79306,NaN0.488756019275754,0.050856768,NaN0.448073441413317,NaN1.22535465604459,NaN0.625207046856724,NaN0.939078356577365,NaN0.199912509380361,NaN1.45858794997704
321,79306,NaN0.24772565360552,NaN0.485568761763879,NaN0.229191547908759,NaN0.734430160372785,NaN1.30802220487095,NaN1.01809836463082,NaN0.771091107609978,NaN1.35574715953288
322,79306,NaN0.89047329539281,NaN0.75378152676754,NaN1.5424829089361,NaN1.51990935344767,NaN0.52766202428326,NaN0.939078356577365,NaN0.999562546901818,NaN0.22449846464712
323,79306,NaN0.0870387431586941,0.140261023,NaN0.557514388165592,NaN1.02898485777587,NaN1.60065727259134,NaN1.09711837268428,NaN0.656855387964054,NaN1.5614287404212
324,61607,1.760860727,1.749537613,1.740745494,NaN0.145320765566617,NaN1.21047718229749,NaN1.25515838879121,1.056680407,NaN1.5614287404212
325,61607,0.555708899,0.676686553,NaN0.448073441413317,NaN0.93079995864151,NaN0.917842114577108,NaN1.41319840489813,NaN0.199912509380361,NaN1.35574715953288
326,61607,0.636052354,1.034303573,NaN0.229191547908759,NaN0.832615059507148,NaN1.30802220487095,NaN1.09711837268428,0.485501808,NaN0.944383997756244
327,61607,NaN0.810129840169397,NaN0.664377271766318,NaN0.995278175174708,NaN0.832615059507148,NaN0.23502695656287,0.167201756,0.485501808,NaN1.04722478820039
328,61607,NaN1.21184711628645,NaN1.37961131177608,NaN1.76136480244066,NaN0.93079995864151,NaN1.30802220487095,NaN1.33417839684467,NaN1.11379826654774,0.186864697
329,61607,NaN0.649442929722576,NaN0.932590036769984,NaN0.666955334917874,NaN0.439875462969704,NaN0.137481933989406,1.273481869,1.856330444,0.084023907
330,61607,NaN0.167382198382107,0.140261023,NaN0.666955334917874,NaN0.636245261238423,NaN1.30802220487095,NaN1.41319840489813,NaN0.656855387964054,NaN1.15006557864455
331,61607,NaN0.89047329539281,NaN0.75378152676754,NaN0.666955334917874,NaN0.341690563835342,NaN1.40556722744442,0.40426178,0.14279465,NaN0.018816883758806
332,64375,NaN0.649442929722576,NaN0.485568761763879,NaN1.10471912192698,NaN0.439875462969704,NaN1.40556722744442,NaN0.54397831631006,NaN1.34226970583958,NaN0.327339255091281
333,64375,NaN1.05116020583963,NaN1.20080280177364,NaN1.5424829089361,NaN0.538060362104061,NaN0.52766202428326,0.799361821,NaN1.22803398619366,0.186864697
334,64375,NaN1.05116020583963,NaN0.0385474867577751,NaN1.21416006867926,NaN0.341690563835342,NaN1.40556722744442,NaN1.41319840489813,NaN1.57074114513143,NaN0.635861626423762
335,64375,NaN1.21184711628645,NaN1.29020705677486,NaN1.32360101543154,0.051049033,NaN0.820297092003645,0.641321804,NaN1.57074114513143,1.112431811
336,64375,1.439486906,1.928346123,1.084099813,NaN0.439875462969704,NaN1.21047718229749,NaN1.41319840489813,0.713973248,NaN1.66426953086535
337,64375,0.555708899,1.391920593,0.755776973,0.443788629,NaN1.40556722744442,0.720341813,NaN0.428383948672207,NaN0.738702416867923
338,64375,NaN0.89047329539281,NaN0.75378152676754,NaN1.5424829089361,0.443788629,NaN1.50311225001788,0.720341813,NaN0.885326827255901,0.90675023
339,64375,NaN0.569099474499163,NaN0.485568761763879,0.099131292,NaN1.32353955517895,NaN0.52766202428326,NaN0.622998324363522,1.056680407,NaN0.533020835979602
340,64375,1.278799996,1.660133358,0.536895079,NaN0.0471358664322551,NaN0.52766202428326,NaN1.33417839684467,NaN0.314148229026284,NaN1.66426953086535
341,64375,NaN0.0066952879352856,NaN0.306760251761435,0.099131292,NaN0.243505664700979,NaN0.430117001709797,1.115441853,1.399387566,NaN0.635861626423762
342,64375,2.001891093,2.196558888,1.412422653,0.640158428,NaN1.11293215972403,NaN1.33417839684467,1.285151846,NaN1.86995111175367
343,64375,0.395021988,1.034303573,NaN0.229191547908759,NaN0.538060362104061,NaN0.52766202428326,NaN1.33417839684467,0.02855893,NaN1.76711032130951
344,77917,NaN0.649442929722576,NaN0.75378152676754,0.099131292,0.443788629,NaN0.820297092003645,0.167201756,NaN0.314148229026284,NaN0.121657674202966
345,77917,1.03776963,1.213112083,0.86521792,0.247418831,NaN1.21047718229749,0.325241772,NaN0.656855387964054,0.598227859
346,77917,NaN0.328069108828928,NaN0.843185781768762,NaN0.666955334917874,NaN0.538060362104061,NaN0.917842114577108,NaN0.622998324363522,0.828208967,0.392546278
347,77917,NaN1.21184711628645,NaN1.29020705677486,NaN1.43304196218382,NaN0.538060362104061,NaN0.722752069430181,NaN0.54397831631006,0.599737528,0.90675023
348,77917,NaN0.167382198382107,0.497878043,NaN0.0103096544042018,1.229267822,NaN0.625207046856724,NaN0.0698582679892935,NaN0.999562546901818,0.289705488
349,77917,NaN0.0870387431586941,NaN0.0385474867577751,NaN0.557514388165592,NaN1.02898485777587,0.545333224,NaN0.54397831631006,0.485501808,NaN0.121657674202966
350,77917,NaN1.21184711628645,NaN1.4690155667773,NaN1.21416006867926,NaN1.51990935344767,NaN0.820297092003645,NaN1.41319840489813,0.371266089,NaN0.327339255091281
351,77917,NaN1.29219057150986,NaN1.11139854677242,NaN1.21416006867926,NaN0.636245261238423,NaN0.332571979136333,NaN0.148878276042751,0.828208967,NaN0.121657674202966
352,56188,NaN0.729786384945989,NaN1.20080280177364,NaN1.10471912192698,NaN1.51990935344767,NaN1.01538713715057,NaN0.385938300203136,NaN0.885326827255901,NaN0.738702416867923
353,56188,NaN0.24772565360552,0.408473788,0.099131292,NaN1.32353955517895,1.813418517,NaN1.17613838073774,1.627859005,NaN1.04722478820039
354,56188,0.395021988,NaN0.217355996760213,NaN0.229191547908759,NaN1.02898485777587,0.252698156,NaN1.01809836463082,2.199037603,NaN1.35574715953288
355,56188,NaN1.13150366106304,NaN1.29020705677486,NaN1.10471912192698,NaN1.12716975691022,NaN0.820297092003645,0.167201756,NaN1.34226970583958,0.186864697
356,61895,NaN1.13150366106304,NaN0.485568761763879,NaN0.995278175174708,NaN0.145320765566617,NaN0.430117001709797,NaN0.227898284096212,NaN1.45650542548551,NaN0.944383997756244
357,61895,NaN0.649442929722576,NaN0.485568761763879,NaN0.229191547908759,1.131082923,NaN1.11293215972403,1.984661941,NaN1.22803398619366,2.243680506
358,61895,NaN1.21184711628645,NaN0.574973016765101,NaN0.119750601156477,NaN0.832615059507148,NaN1.01538713715057,NaN0.860058348523903,NaN1.34226970583958,NaN0.635861626423762
359,61895,NaN0.649442929722576,NaN1.20080280177364,NaN0.0103096544042018,NaN0.439875462969704,NaN0.722752069430181,2.063681949,1.056680407,2.140839716
360,61895,NaN1.37253402673327,NaN1.11139854677242,NaN1.43304196218382,NaN1.22535465604459,NaN0.23502695656287,0.325241772,NaN0.199912509380361,NaN0.22449846464712
361,61895,NaN1.13150366106304,NaN1.0219942917712,NaN1.10471912192698,NaN1.51990935344767,NaN0.820297092003645,NaN0.860058348523903,1.742094725,0.186864697
362,61895,NaN0.328069108828928,0.050856768,NaN0.448073441413317,NaN0.832615059507148,NaN1.21047718229749,NaN1.17613838073774,NaN0.656855387964054,NaN0.841543207312084
363,61895,NaN1.29219057150986,NaN1.0219942917712,NaN0.229191547908759,NaN0.734430160372785,NaN0.52766202428326,NaN0.622998324363522,0.371266089,0.598227859
364,61895,NaN0.167382198382107,0.408473788,1.19354076,0.541973528,NaN1.50311225001788,0.246221764,0.14279465,NaN1.04722478820039
365,61895,1.439486906,0.944899318,0.427454133,0.934713125,NaN1.11293215972403,NaN0.0698582679892935,0.14279465,NaN0.738702416867923
366,61895,NaN0.408412564052341,0.050856768,NaN0.229191547908759,0.051049033,NaN1.01538713715057,0.246221764,NaN0.885326827255901,NaN0.533020835979602
367,61895,0.716395809,0.050856768,0.427454133,2.014747015,NaN0.52766202428326,1.984661941,NaN0.428383948672207,1.523794973
