state,county_num,fixed tract,block_group,GEOID,GEOID_text,TotalPop,TotalMedianAge,MalePop,MMedianAge,FemalePop,FMedianAge,TotalAll,White,BlackorAA,Native,Asian,PacificIslander,Other,TwoPlus,HispanicLatino,MedianHHIncome,TotalCivLaborForce,TotalCivEmployed,TotalCivUnemployed,TotalEdu,NoSchooling,Nursery,Kindergarten,1stGrade,2ndGrade,3rdGrade,4thGrade,5thGrade,6thGrade,7thGrade,8thGrade,9thGrade,10thGrade,11thGrade,12thGradeNoGrad,HSGrad,GEDHSGrad,1YrCollege,1PlusYrsCollegeNoDeg,AssociatesDeg,BachelorsDeg,MastersDeg,ProSchoolDeg,DoctorateDeg,Less10k,10k_14.9k,15k_19.9k,20k_24.9k,25k_29.9k,30k_34.9k,35k_39.9k,40k_44.9k,45k_49.9k,50k_59.9k,60k_749.9k,75k_99.9k,100k_124.9k,125k_149.9k,150k_199.9k,200k+,PercWhite,PercBlack,PercNative,PercAsian,PercPacificIslander,PercOther,PercTwoPlus,PercHispanicLatino,PercCivEmployed,PercCivUnemployed,PercNoHS,PercHS,PercCollege,PercMasters,PercProSchool,PercDoctorate
17,31,300900,2,17313009002,170313009002.00,1428,31.6,815,30.4,613,37.8,1428,181,0,0,0,0,0,0,1247,22193,639,619,20,924,36,0,0,16,68,0,0,48,147,0,64,51,22,74,36,146,15,57,38,72,12,16,3,3,68,18,56,110,35,24,21,25,0,32,44,24,13,0,0,7,12.67507003,0,0,0,0,0,0,87.32492997,96.87010955,3.129890454,60.82251082,17.42424242,19.37229437,1.731601732,0.324675325,0.324675325
17,31,301200,1,17313012001,170313012001.00,1044,26.3,514,25.9,530,26.4,1044,102,53,0,0,0,0,14,875,27421,468,438,30,552,13,0,0,26,0,27,0,0,55,0,0,0,0,0,41,142,35,90,37,17,69,0,0,0,15,24,17,14,111,0,72,13,0,12,25,0,0,27,0,25,9.770114943,5.076628352,0,0,0,0,1.340996169,83.81226054,93.58974359,6.41025641,29.34782609,32.06521739,38.58695652,0,0,0
17,31,301200,2,17313012002,170313012002.00,1001,21.8,420,16.1,581,29.4,1001,5,291,0,0,0,0,0,705,48333,437,373,64,450,18,0,0,0,0,0,0,0,43,0,13,0,40,0,39,125,13,31,69,14,45,0,0,0,40,5,0,13,0,53,19,0,39,46,42,29,0,0,0,0,0.4995005,29.07092907,0,0,0,0,0,70.42957043,85.35469108,14.64530892,34,30.66666667,35.33333333,0,0,0
17,31,310800,3,17313108003,170313108003.00,3045,31.2,1530,32.3,1515,29.8,3045,345,0,0,93,0,0,59,2548,53527,1604,1501,103,1975,85,0,0,0,17,22,0,0,261,0,41,177,0,104,59,285,85,104,201,132,262,59,47,34,47,73,14,98,79,64,26,40,9,57,164,51,115,17,24,45,11.33004926,0,0,3.054187192,0,0,1.937602627,83.67816092,93.57855362,6.421446384,38.78481013,18.73417722,35.39240506,2.987341772,2.379746835,1.721518987
17,31,310800,1,17313108001,170313108001.00,1075,29.1,590,28.3,485,40.6,1075,246,35,0,14,0,0,0,780,55972,607,607,0,776,0,0,0,0,0,13,20,32,54,0,0,37,34,28,0,37,46,0,87,87,268,15,18,0,0,31,27,0,15,36,37,0,0,63,29,51,36,13,32,0,22.88372093,3.255813953,0,1.302325581,0,0,0,72.55813953,100,0,28.09278351,10.69587629,56.95876289,1.932989691,2.319587629,0
17,31,310800,2,17313108002,170313108002.00,301,34.7,189,34.8,112,30.9,301,53,8,0,95,0,0,14,131,57457,231,231,0,258,32,0,0,0,0,0,0,0,0,0,16,0,0,0,0,8,0,0,31,0,103,54,14,0,0,16,0,8,0,30,0,0,0,29,34,0,0,16,32,0,17.60797342,2.657807309,0,31.56146179,0,0,4.651162791,43.52159468,100,0,18.60465116,3.100775194,51.9379845,20.93023256,5.426356589,0
17,31,823400,3,17318234003,170318234003.00,700,34.4,359,22,341,37.5,700,284,253,0,0,0,0,0,163,25875,339,205,134,372,35,0,0,0,0,0,0,0,9,0,0,0,13,0,0,95,60,30,26,22,28,41,13,0,22,19,70,0,29,12,0,0,0,0,58,0,10,9,0,0,40.57142857,36.14285714,0,0,0,0,0,23.28571429,60.4719764,39.5280236,15.32258065,41.66666667,28.49462366,11.02150538,3.494623656,0
17,31,823702,3,17318237023,170318237023.00,1796,46.4,765,50.7,1031,42.1,1796,1192,68,0,0,0,0,80,456,66053,1046,962,84,1267,128,0,0,0,0,0,0,0,0,0,9,23,0,9,26,315,27,58,137,135,175,118,94,13,65,14,15,13,0,0,51,35,33,89,86,73,81,50,71,58,66.36971047,3.786191537,0,0,0,0,4.454342984,25.38975501,91.96940727,8.030592734,15.39068666,26.99289661,39.85793212,9.313338595,7.419100237,1.026045777
17,31,823702,1,17318237021,170318237021.00,1920,35.1,840,35.6,1080,34.8,1920,1091,620,0,48,0,0,40,121,53029,945,798,147,1309,18,0,0,0,0,37,0,0,0,0,0,34,0,0,30,300,27,86,264,107,288,118,0,0,49,75,12,69,35,11,37,27,30,179,77,68,65,49,12,0,56.82291667,32.29166667,0,2.5,0,0,2.083333333,6.302083333,84.44444444,15.55555556,9.090909091,24.98090145,56.91367456,9.014514897,0,0
17,31,822601,2,17318226012,170318226012.00,1946,35.7,909,38.1,1037,35,1946,1549,0,0,38,0,0,26,333,94583,906,887,19,1318,58,6,0,0,0,0,0,0,0,0,0,28,10,12,0,255,20,70,212,150,384,81,24,8,15,20,23,28,27,9,55,17,22,38,20,76,125,49,101,52,79.5991778,0,0,1.952723535,0,0,1.336073998,17.11202467,97.90286976,2.097130243,8.649468892,20.86494689,61.91198786,6.145675266,1.820940819,0.606980273
17,31,300500,2,17313005002,170313005002.00,2147,33.6,1196,32.2,951,35.2,2147,7,13,6,0,0,0,0,2121,37114,1029,953,76,1380,121,0,0,0,34,24,13,27,290,57,75,94,55,16,51,287,5,16,62,20,126,7,0,0,26,14,22,67,48,80,55,107,28,23,75,23,28,0,11,0,0.32603633,0.605496041,0.279459711,0,0,0,0,98.78900792,92.61418853,7.385811467,62.10144928,21.15942029,16.23188406,0.507246377,0,0
17,31,300600,1,17313006001,170313006001.00,1518,32.6,741,31.9,777,34.3,1518,210,396,0,0,0,0,15,897,36080,725,639,86,996,39,0,0,8,0,3,3,39,15,0,25,61,51,70,47,226,68,44,90,45,107,13,21,21,33,31,34,54,21,0,22,16,0,0,42,30,12,39,31,0,13.83399209,26.08695652,0,0,0,0,0.988142292,59.09090909,88.13793103,11.86206897,36.24497992,29.51807229,28.71485944,1.305220884,2.108433735,2.108433735
17,31,310700,1,17313107001,170313107001.00,1514,35.6,840,35,674,36.9,1514,352,37,0,112,0,0,46,967,57774,942,876,66,1136,16,19,0,14,10,0,0,0,111,0,27,75,62,19,6,239,32,28,148,25,165,101,33,6,53,25,25,18,20,22,24,21,25,84,90,59,49,22,7,17,23.24966975,2.443857332,0,7.397622193,0,0,3.038309115,63.87054161,92.99363057,7.006369427,31.60211268,23.8556338,32.21830986,8.89084507,2.904929577,0.528169014
17,31,530300,3,17315303003,170315303003.00,751,45.9,331,36.9,420,50.3,751,0,699,0,0,0,0,52,0,44063,460,433,27,579,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,166,31,33,115,73,118,8,0,0,12,34,7,59,13,26,0,37,19,48,14,24,44,0,0,33,0,93.0758988,0,0,0,0,6.924101198,0,94.13043478,5.869565217,6.044905009,34.02417962,58.5492228,1.381692573,0,0
17,31,560900,2,17315609002,170315609002.00,514,51.2,299,52.9,215,45.3,514,417,0,0,0,0,0,0,97,77750,274,227,47,386,0,0,0,0,0,0,0,0,0,0,0,0,25,0,24,50,0,10,128,19,102,28,0,0,0,9,9,0,0,0,0,10,27,0,20,58,21,10,21,34,81.12840467,0,0,0,0,0,0,18.87159533,82.84671533,17.15328467,12.69430052,12.95336788,67.0984456,7.25388601,0,0
17,31,560900,6,17315609006,170315609006.00,765,38.7,353,39.4,412,29.7,765,372,19,0,0,0,0,0,374,74471,358,320,38,545,0,0,0,0,0,22,0,0,12,0,10,9,0,0,29,275,0,53,43,19,55,8,10,0,21,0,0,0,0,31,11,0,19,49,35,62,43,40,0,10,48.62745098,2.483660131,0,0,0,0,0,48.88888889,89.38547486,10.61452514,15.04587156,50.4587156,31.19266055,1.467889908,1.834862385,0
17,31,560900,5,17315609005,170315609005.00,536,47.2,289,45.7,247,52.8,536,374,0,0,0,0,0,17,145,100278,312,304,8,437,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,119,10,11,89,40,106,54,0,0,0,0,0,8,0,14,0,10,25,0,11,22,56,0,21,15,69.7761194,0,0,0,0,0,3.171641791,27.05223881,97.43589744,2.564102564,1.830663616,29.5194508,56.29290618,12.35697941,0,0
17,31,770602,1,17317706021,170317706021.00,1666,39.4,931,31.2,735,48.1,1666,654,17,0,4,0,7,0,984,53514,847,760,87,1155,39,0,0,0,0,15,0,10,118,4,46,8,9,9,61,253,115,53,115,57,168,66,9,0,80,34,0,28,53,0,35,21,9,42,65,74,41,38,25,5,39.25570228,1.020408163,0,0.240096038,0,0.420168067,0,59.06362545,89.72845336,10.27154664,27.61904762,31.86147186,34.02597403,5.714285714,0.779220779,0
17,31,770202,1,17317702021,170317702021.00,1547,39.4,778,38.9,769,42.7,1547,1050,0,0,36,0,0,0,461,69583,726,662,64,1040,14,0,0,0,0,21,0,0,0,0,0,0,0,0,31,277,0,28,192,94,327,56,0,0,70,0,0,25,14,25,47,36,14,25,84,61,90,26,63,63,67.87330317,0,0,2.32708468,0,0,0,29.79961215,91.184573,8.815426997,6.346153846,26.63461538,61.63461538,5.384615385,0,0
