a_image_name,b_block_id,c_pano_id,d_heading
p1r00001.jpg,170310105031015,WXo42GE_sOEe2TIYjSdzDw,2right
p1r00002.jpg,170310105031015,WXo42GE_sOEe2TIYjSdzDw,4left
p1r00003.jpg,170310105031015,x90nkFjgAj1jsiUEuTDajw,2right
p1r00004.jpg,170310105031015,x90nkFjgAj1jsiUEuTDajw,4left
p1r00005.jpg,170310201001004,678XbB9KlkV1cZJnizTjOA,2right
p1r00006.jpg,170310201001004,678XbB9KlkV1cZJnizTjOA,4left
p1r00007.jpg,170310201001004,fC7xRDMRnsBZ6owiJ36nKA,2right
p1r00008.jpg,170310201001004,fC7xRDMRnsBZ6owiJ36nKA,4left
p1r00009.jpg,170310202004007,GV86VVwYTbwqN2yLdd6bFg,2right
p1r00010.jpg,170310202004007,GV86VVwYTbwqN2yLdd6bFg,4left
p1r00011.jpg,170310202004007,icdMpz4ZWuUFRyYBhIPr9Q,2right
p1r00012.jpg,170310202004007,icdMpz4ZWuUFRyYBhIPr9Q,4left
p1r00013.jpg,170310203022014,J_Lk7p_-zh2KsWUKQ1D7iw,2right
p1r00014.jpg,170310203022014,J_Lk7p_-zh2KsWUKQ1D7iw,4left
p1r00015.jpg,170310203022014,uv_9MCunRgDyPXj8B0HqXg,2right
p1r00016.jpg,170310203022014,uv_9MCunRgDyPXj8B0HqXg,4left
p1r00017.jpg,170310204001012,BlFAOsX7q9lA3EcGqJN-cQ,2right
p1r00018.jpg,170310204001012,BlFAOsX7q9lA3EcGqJN-cQ,4left
p1r00019.jpg,170310204001012,cSy6gjFdRvqFzquKBEsvHg,2right
p1r00020.jpg,170310204001012,cSy6gjFdRvqFzquKBEsvHg,4left
p1r00021.jpg,170310208014003,cRhgeBBaBpBzdREh24nPAA,2right
p1r00022.jpg,170310208014003,cRhgeBBaBpBzdREh24nPAA,4left
p1r00023.jpg,170310208014003,s3JU1-MTYBVSdDaxGT9epw,2right
p1r00024.jpg,170310208014003,s3JU1-MTYBVSdDaxGT9epw,4left
p1r00025.jpg,170310208021017,ijwKvFUcMa1XJJQVeh9eEA,2right
p1r00026.jpg,170310208021017,ijwKvFUcMa1XJJQVeh9eEA,4left
p1r00027.jpg,170310208021017,n2xoyoHmyFerJAqCW4LgVQ,2right
p1r00028.jpg,170310208021017,n2xoyoHmyFerJAqCW4LgVQ,4left
p1r00029.jpg,170310301032001,FpyMCSQ8QwaIg63K4SohBw,2right
p1r00030.jpg,170310301032001,FpyMCSQ8QwaIg63K4SohBw,4left
p1r00031.jpg,170310301032001,ky_eBZoVTiU2Q7KZx0BJjQ,2right
p1r00032.jpg,170310301032001,ky_eBZoVTiU2Q7KZx0BJjQ,4left
p1r00033.jpg,170310302001001,cFKLDumoSd58jotH0ZkUkg,2right
p1r00034.jpg,170310302001001,cFKLDumoSd58jotH0ZkUkg,4left
p1r00035.jpg,170310302001001,WpsisBc1Kkz71W2WE5XOqQ,2right
p1r00036.jpg,170310302001001,WpsisBc1Kkz71W2WE5XOqQ,4left
p1r00037.jpg,170310305001007,5QmjpTGwRBmzuxjOlD3aCA,2right
p1r00038.jpg,170310305001007,5QmjpTGwRBmzuxjOlD3aCA,4left
p1r00039.jpg,170310305001007,Y29dvPbO0awtEqmrBCZXdQ,2right
p1r00040.jpg,170310305001007,Y29dvPbO0awtEqmrBCZXdQ,4left
p1r00041.jpg,170310307021000,bEr_kIOSKagUK-y3KZ3rLw,2right
p1r00042.jpg,170310307021000,bEr_kIOSKagUK-y3KZ3rLw,4left
p1r00043.jpg,170310307021000,MGlP_68j2FKK_zF7G8nvzA,2right
