image_name,pcnt_road,pcnt_sidewalk,pcnt_building,pcnt_wall,pcnt_fence,pcnt_pole,pcnt_traffic_light,pcnt_traffic_sign,pcnt_vegetation,pcnt_terrain,pcnt_sky,pcnt_person,pcnt_rider,pcnt_car,pcnt_truck,pcnt_bus,pcnt_train,pcnt_motorcycle,pcnt_bicycle,pcnt_unlabeled
STIM0029,0.067282715,0.030292969,0.125444336,0,0.043830566,0.013232422,0.000320638,0.007394206,0.267946777,0.000147298,0.174444173,0.005355632,0,0.014697266,2.85E-05,0,0,0,0.001297201,0.248285319
STIM0030,0.067589518,0.026238607,0.282698568,0,0.003171387,0.018633626,0.002517904,0.002512207,0.092730306,0,0.214434408,0.001066081,0,0.030430501,1.71E-05,0,0,0,0.003829753,0.254130046
STIM0031,0.078369141,0.002963867,0.262197266,0,2.44E-06,0.010761719,0.000697428,0.006875814,0.116232096,0,0.231283366,0.001779785,2.44E-06,0.108548177,0.002080078,0,0,0,0,0.17820638
STIM0032,0.111818034,0.039656576,0.263234863,0,0.004839681,0.025836589,0.008832194,0.015609538,0.090836589,0.000633952,0.260574544,0.001419271,0,0.029397786,0.003186849,0,0,0,0,0.144123535
STIM0033,0.033805339,0.000810547,0.192740885,0,0,0.011306152,4.23E-05,0.012738444,0.023045247,0,0.373503418,0,0,0.19218099,0.010402832,0.013300781,0,0,0,0.136123047
STIM0034,0.073540853,0.007508952,0.051289876,0,0.005964355,0.010987142,0.001178385,0.001437988,0.215044759,0,0.30726237,0.01044515,0.001726888,0.07402181,0.016000163,0,0,1.79E-05,0.000672201,0.222901204
STIM0035,0.051791992,0.032961426,0.23078776,0,0.012971191,0.016571452,0.000383301,0.003851725,0.116416016,0.000489095,0.247410482,0.002110189,0,0.039180501,5.13E-05,0,0,0,0.000441895,0.244581706
STIM0036,0.090044759,0.015209147,0.178963216,0,0.028079427,0.00753418,0.000187174,0.001796875,0.128416341,4.96E-05,0.325309245,8.14E-07,0,0.070686849,0.000119629,0,0,0,0,0.153602702
STIM0037,0.088504232,0.056066081,0.020999349,0.080266113,0.009637044,0.014724935,0.000374349,0.005088704,0.07193929,0.03332194,0.476936035,3.01E-05,0,0.011202799,0.004458008,0.001395671,0,0,0.000107422,0.124947917
STIM0038,0.083028158,0.009491374,0.223387044,0,0.01454834,0.011922201,0.001573893,0.000777181,0.00129069,0,0.354256999,0.000356445,0,0.071595052,1.46E-05,0.000110677,0,0,1.22E-05,0.227635091
STIM0039,0.065715332,0.037672526,0.082157389,0.002284342,0.030231934,0.02305013,0.00037679,0.025918783,0.035843099,0.006358236,0.467135417,0.001088867,0,0.047009277,0.006201986,0.00026123,0,1.63E-06,0.001248372,0.167444661
STIM0040,0.101569824,0.024134928,0.313311361,0,0.001142578,0.010545247,0.001321615,0.003194173,0.049682617,0,0.317122396,0.001735026,0,0.026200358,6.75E-05,0,0,8.95E-06,0,0.149963379
STIM0041,0.057176107,0.017040202,0.356830241,0,0.002201335,0.022111003,0.007508952,0.003088379,0.009312337,0,0.305936686,0.003160807,0,0.021506348,0.004313965,0,0,0,4.72E-05,0.189766439
STIM0042,0.097017415,0.022071126,0.3053125,0.00017334,2.69E-05,0.018908691,0.006791178,0.003120117,0.010712891,0.001426595,0.227305501,0.000769857,0,0.039519857,0.001822917,7.32E-06,0,0,0.000238444,0.264775391
STIM0043,0.058727214,0.004781901,0.021271159,0,0.012338053,0.01443278,0.00351237,0.00251709,0.135046387,0.058456217,0.37892985,0.002195638,0,0.027958171,7.16E-05,0.002584635,0,0,9.44E-05,0.27708252
STIM0044,0.08421875,0.016604004,0.189667969,0.000550944,0.002873535,0.013283691,0.000441895,0.013973796,0.089270833,1.95E-05,0.322533366,0,0,0.085093587,3.91E-05,0,0,0,0.000152995,0.181276042
STIM0045,0.073245443,0.06472819,0.199620768,0.000169271,0.050274251,0.014069824,0.001682129,0.00121582,0.003325195,0,0.439705404,0.006441243,0,0.02409668,0.002561035,0.000104167,0,0,0,0.118760579
STIM0046,0.053322754,9.68E-05,0.090742188,0,9.60E-05,0.006631673,0.000380046,0.000257975,0.247536621,0,0.179129232,0.00019694,0,0.207229004,0.000250651,0.000227865,0,0,0,0.213902181
STIM0047,0.07369873,0.032416178,0.209344076,0,0.018993327,0.017980957,0.000340169,0.002830404,0.127792155,0,0.268055827,8.95E-06,0,0.033286947,0.000280762,0,0,0.000414225,1.63E-06,0.214555664
STIM0048,0.123358561,0.037902018,0.185440267,0.007617188,0.011263835,0.028033854,0.000472819,0.000782064,0.184790853,2.60E-05,0.227861328,0.001984049,0,0.003291016,0,0,0,0.000167643,0.000147298,0.186861165
STIM0049,0.074688314,0.065847168,0.05415446,0.034682617,0.013650716,0.013918457,0.001466471,0.001039225,0.058085938,0.000418294,0.482432454,0.000773926,0,0.003236491,0.002559408,2.20E-05,0,0,0,0.193024089
STIM0050,0.072972819,0.023457845,0.182165527,0,0.013840332,0.004272461,0.001043294,0.003401693,0.283898112,2.28E-05,0.135503743,0.00282959,3.01E-05,0.065512695,0,0,0,0,0,0.211048991
STIM0051,0.121254883,0.040690918,0.192898763,0.000438639,0.006625163,0.006131185,0.000158691,0.005801595,0.058328451,0.002060547,0.510069173,4.56E-05,0,0.002916667,0.003924967,0.000139974,0,0,0,0.048514811
STIM0052,0.01107666,0.001236979,0.048697917,0,0.012516276,0.067042643,0.00787028,0.005607096,0.590300293,0.16744222,0.039996745,0.000449219,0.000184733,0.038724772,0.008037109,0,0,0,0.000197754,0.000619303
STIM0053,0.032447103,0.001027018,0.174786784,0,0.00449707,0.009430339,0.000206706,0.004204915,0.151447754,0,0.171516113,0.000217285,0,0.158752441,0,0,0,0,0,0.291466471
STIM0054,0.078079427,0.01869222,0.261017253,0,0.007810059,0.03193278,7.00E-05,0.010569661,0.024190267,0.000143229,0.31876709,0.00086263,0,0.063570964,0.012509766,0,0,0,0,0.171784668
STIM0055,0.024199219,0.090209961,0.549330241,0,0,0.020859375,0.0084611,0.004713542,0,0,0.128324382,0.000359701,0,0.014489746,1.63E-06,2.20E-05,0,0,0,0.159029134
STIM0056,0.026564128,0.056975098,0.327474772,0.000326335,0.015144857,0.008036296,0.002283529,0.003220215,0.011189779,0,0.346159668,0.001097819,0,0.074562988,0.000219727,3.26E-06,0,0,0,0.126741536
STIM0057,0.106969401,0.036879069,0.245374349,0,0.000824382,0.029654134,0.012346191,0.006735026,0.073521322,0,0.285827637,0.003268229,0,0.024620768,0.000105794,3.26E-06,0,0,0,0.173870443
STIM0058,0.065290527,0.027438151,0.17974528,0,0.03239502,0.013489583,0.00115804,0.007446289,0.035829264,0.00129069,0.317200521,0.000292155,0,0.105992839,0.00287028,0.001648763,0,0,0,0.207912598
STIM0059,0.044541016,0.007890625,0.229814453,0,0.00648763,0.010033366,0.001166178,0.002860514,0.114610189,0,0.258502604,0.001595052,0,0.112374674,0.001152344,5.70E-06,0,0,0,0.208965658
STIM0060,0.110001628,0.037890625,0.006472168,0,0.05463623,0.014392904,8.14E-06,0.00822998,0.178545736,0.000209961,0.376585286,2.69E-05,0,0.020339355,0.00111735,6.27E-05,0,0,0,0.19148112
STIM0061,0.063301595,0.024748535,0.176007487,0.000308431,0.014951986,0.026235352,0.001338704,0.015113118,0.007510579,0.001758626,0.371413574,0.007471517,0,0.045200195,0.001182454,0.016872559,0,0,0.000256348,0.226328939
STIM0062,0.048252767,0.006658529,0.200083008,0,0.001263021,0.014903971,0.00030599,0.003401693,0.194912109,0,0.176704915,0.000696615,0,0.131280111,0,7.81E-05,0,0,0.000123698,0.221335449
STIM0063,0.063483887,4.88E-06,0.325365397,0,0.000563965,0.012736003,0.000251465,0.002587077,0.010651855,0,0.28355306,0.00045166,0,0.135673014,0.001617839,0,0,0,0.000201009,0.162858887
STIM0064,0.078178711,0.063151042,0.00657959,0.041135254,0.027554525,0.010645345,0.000118815,0.004074707,0.098649902,0.029200846,0.430680339,1.14E-05,0,0.00076416,0.003971354,0,0,0,0,0.205284017
STIM0065,0.077666829,0.040055339,0.158254395,0,0.007042643,0.019683431,0.003011068,0.001577148,0.09232015,0.001432292,0.41119222,0.002199707,0,0.024715983,0,0,0,0,0,0.160848796
STIM0066,0.087799479,0.015288086,0.022333984,0,0.016740723,0.018071289,0.000124512,0.001958008,0.190454915,0.003531087,0.339231771,0.00433431,0,0.077862142,0.000144043,0.000470378,0,0,0,0.221655273
STIM0067,0.058500163,0.005211589,0.16601888,0,4.56E-05,0.015594076,0.001210124,0.007508952,0.129676921,0,0.270335286,2.36E-05,0,0.126564128,0.027897949,4.56E-05,0,0,0,0.191367188
STIM0068,0.068229167,0.035263672,0.252983398,0,0.037784017,0.008673503,0.000217285,0.001722005,0.059025879,0,0.300235189,0.001549479,0,0.017755534,0.0009611,0,0,0,0.000314941,0.215284831
STIM0069,0.119938965,0.047173665,0.138804525,0.002416178,0.033820801,0.029142253,2.85E-05,0.001925456,0.102456055,0.00680013,0.377432454,2.93E-05,0,0.018531087,0.003232422,0,0,0,0,0.118268229
STIM0070,0.030556641,0.026357422,0.372721354,0,0.000479329,0.009841309,0.003643392,0.003296712,2.93E-05,0,0.3006486,0.005572103,0,0.07371582,0.001230469,0.000735677,0,0,0,0.171171875
STIM0071,0.077335612,0.005050456,0.176740723,0,0.000113118,0.008251139,0.000464681,0.003046061,0.247797038,0,0.167202148,0.001784668,0,0.104572754,0.001139323,0,0,0,0,0.206502279
STIM0072,0.124414063,0.033477376,0.066780599,0.024898275,0.008154297,0.023911133,0.004307454,0.001717936,0.024486491,0.000117188,0.22035319,0.000124512,0,0.006784668,1.79E-05,0,0,0,0,0.460454915
STIM0073,0.072461751,0.032121582,0.086224772,5.70E-06,0.007438965,0.010216471,0.001503906,0.005588379,3.09E-05,0,0.069211426,0.002425944,0,0.037124837,0.004547526,0.01615153,0,0,0,0.654946289
STIM0074,0.141359863,0.050065918,0.118833822,0,0.027104492,0.01385498,0.000759277,0.003366699,0.010097656,0.010010579,0.478968913,0.007078451,0,0.019394531,0.00146403,0.020503743,0,0,0,0.097137044
STIM0075,0.13651123,0.01347168,0.11378418,0.000619303,0.021416829,0.013901367,0.007259928,0.001969401,0.003147786,0,0.580786947,0.003894857,0,0.028296712,0.008785807,0.00020752,0,0,9.77E-05,0.065848796
STIM0076,0.119469401,0.019215495,0.025744629,1.22E-05,0.028027344,0.026419271,0.00024821,0.004160156,0.011908366,0.011577148,0.521779785,3.17E-05,0,0.019327799,0.013902181,0.000127767,0,0,0.000100911,0.197947591
STIM0077,0.049952799,0.029592285,0.18197998,2.44E-06,0.003920085,0.018629557,0.00688151,0.003560384,0.112138672,1.95E-05,0.325011393,0.003622233,0,0.060032552,0.002614746,6.51E-06,0,0,9.77E-06,0.202025553
STIM0078,0.069327799,0.013544108,0.129147949,2.52E-05,0.005450033,0.028305664,0.003755697,0.001895345,0.356286621,0,0.123185221,0.001931966,0,0.070562337,0.014545898,1.38E-05,0,0,4.07E-06,0.182018229
STIM0079,0.103702799,0.003840332,0.227416992,0,0,0.011403809,0.007303874,0.001036784,0.013623861,0,0.274697266,0.011577962,0,0.035742188,0.043766276,0.000472005,0,0,0,0.265415853
STIM0080,0.090668132,0.010129395,0.201359049,0,0.003930664,0.020857747,0.000294596,0.017797852,0.029666341,0.000314941,0.414889323,0.001324056,0,0.107793783,0.002526855,0,0,0,0,0.098447266
STIM0081,0.070537109,0.023547363,0.274570313,0,0,0.0187264,0.005869954,0.004838053,0.004438477,0,0.334619141,0.008390299,0,0.053837077,0.000895182,0,0,0,0.000166016,0.199564616
STIM0082,0.054068197,0.003483887,0.17582194,0,0,0.011525879,0.000566406,0.002162272,0.106950684,0,0.293027344,0.000717773,0,0.159992676,0.000710449,0.000174967,0,0,0,0.190797526
STIM0083,0.109939779,0.036303711,0.275516764,0,0.000803223,0.013662109,7.41E-05,0.006057943,0.006916504,0,0.328049316,0.000301107,0,0.025354004,0.00135498,0.000202637,0,0,0.000419108,0.195044759
STIM0084,0.089315592,0.030008138,0.312616374,0,7.32E-06,0.03025472,0.007094727,0.008354492,0.022294108,4.07E-06,0.268620605,0.005716146,0,0.053286133,0.000249023,1.87E-05,0,0,0,0.172159831
STIM0085,0.092896322,0.085741374,0.170829264,8.63E-05,0.001175944,0.012634277,0.000267741,0.000925293,0.047071126,0.086050618,0.439420573,3.91E-05,0,0.032750651,0.000952148,0,0,0,0.000824382,0.028334961
STIM0086,0.133845215,0.094502767,0.02544515,0.000328776,0.04534668,0.015927734,0.000413411,0.00224528,0.056524251,0.004388835,0.595962728,0.000943197,0,0.017076823,9.28E-05,2.36E-05,0,0,4.80E-05,0.006884766
STIM0087,0.054227702,0.154690755,0.296450195,0,8.14E-07,0.043448079,0.002378743,0.002760417,0.036436361,0,0.189442546,0.015922038,0,0.065322266,0.000885417,0.029562988,0,0,0,0.10847168
STIM0088,0.054747721,0.087897949,0.130696615,0.000732422,0.003192546,0.00337972,0.00230957,0.003414714,0.00015625,1.30E-05,0.043296712,4.96E-05,0,0.014698079,0.025659993,0,0,0,0,0.629755046
STIM0089,0.007873535,0.292473145,0.245701497,0,0.003639323,0.072140299,0.008566081,0.008904622,0.019912923,0.011931966,0.18787679,0.00646403,0,0.027139486,0.001849772,0.003688965,0,0,0,0.101837565
STIM0090,0.076456706,0.072243652,0.088462728,0,0.000301107,0.006606445,0.003971354,0.00232015,9.77E-06,7.16E-05,0.002354329,0.001426595,0,0.022922363,2.36E-05,0,0,0,0,0.72282959
STIM0091,0.115460612,0.066188965,0.315968424,0.001887207,0.002983398,0.013839518,0.002057292,0.004119466,0.007438151,2.52E-05,0.053418783,0.005074056,0,0.025179036,0.000226237,0,0,0,0,0.386133626
STIM0092,3.82E-05,0.272507324,0.324729818,0.000354818,0.015725911,0.055011393,0.000249023,0.006079915,0.087789714,0.000799154,0.188680827,0.015924479,8.14E-06,0.008583984,0.003460286,0.000579427,0,0,0.007345378,0.012132161
STIM0093,0.116123861,0.024246419,0.077949219,0,0.014116211,0.021751302,0.000338542,0.006180013,0.01214681,0.003059082,0.163942871,6.84E-05,0,0.024239095,0.005251465,0.00044515,0,0,0,0.530141602
STIM0094,0.12112793,0.020744629,0.07260498,0.031869303,0.00719401,0.012593587,0.001931152,0.000981445,0,0,0.029786784,0.000712891,0,0.049960938,0.005014648,0,0,0,1.06E-05,0.645467122
STIM0095,0.187098796,0.030777181,0.091550293,0.004392904,0.014196777,0.01722819,0.007780762,0.002421061,0.032589518,0.008682454,0.236734212,0.0006014,0,0.019969889,0.000597331,0,0,0,0,0.345379232
STIM0096,0.024186198,0.253734538,0.140001628,0.019445801,0.003897298,0.048141276,0.010371094,0.006058757,0.12290446,0.022362467,0.254320475,0.000224609,0,0.016700033,0.017338053,0.000333659,0,0,1.22E-05,0.059967448
