name,ED,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,StraightED,NonStraightED
p1s00107.jpg      ,0.11009,-2.212,0.25173,0.56861,2.4163,0.22884,0.22452,7.5082,0.08871,0.039114
p1s00108.jpg      ,0.11553,-0.68391,0.24625,0.67234,2.0333,0.2441,0.19367,7.5654,0.092258,0.034656
p1s00109.jpg      ,0.11681,0.91559,0.13511,0.49661,1.3808,0.12765,0.21067,7.4281,0.072315,0.057974
p1s00110.jpg      ,0.13052,0.75122,0.25534,0.42036,1.1928,0.20248,0.16561,7.3137,0.12185,0.034747
p1s00111.jpg      ,0.097837,-1.6743,0.18641,0.66254,2.1647,0.16532,0.22511,7.5355,0.059492,0.043198
p1s00112.jpg      ,0.1002,0.10313,0.19885,0.47008,1.303,0.18903,0.23448,7.3554,0.075583,0.042392
p1s00113.jpg     ,0.11137,1.7952,0.19973,0.42043,1.7577,0.13202,0.19275,7.2119,0.073994,0.04439
p1s00114.jpg     ,0.11001,1.4383,0.28906,0.29884,1.1327,0.19113,0.14529,6.7391,0.057885,0.070473
p1s00115.jpg      ,0.12184,1.0763,0.3284,0.48465,0.7911,0.24113,0.22818,7.4524,0.057144,0.069716
p1s00116.jpg     ,0.11417,1.5814,0.2718,0.44914,1.1849,0.19158,0.20032,7.0987,0.061954,0.067622
p1s00117.jpg      ,0.12881,1.4817,0.30894,0.41672,0.757,0.21456,0.17501,7.2293,0.061692,0.087087
p1s00118.jpg      ,0.13888,1.442,0.30194,0.39526,0.93099,0.19943,0.14705,7.0528,0.058348,0.093208
p1s00119.jpg      ,0.11689,1.3154,0.26825,0.3563,0.80473,0.17136,0.17645,7.094,0.047852,0.080482
p1s00120.jpg     ,0.11781,1.4131,0.29128,0.46887,1.0979,0.15263,0.19948,7.4316,0.07405,0.061562
p1s00121.jpg     ,0.12083,1.6352,0.29649,0.34979,1.1545,0.20215,0.19073,7.0468,0.0478,0.081715
p1s00122.jpg     ,0.10293,2.7128,0.22122,0.46357,1.7222,0.12981,0.2142,7.3498,0.082515,0.033899
p1s00123.jpg      ,0.10358,0.33699,0.2611,0.65619,1.6485,0.22688,0.24033,7.533,0.076723,0.037409
p1s00124.jpg     ,0.11803,2.9792,0.27738,0.45515,1.3058,0.16822,0.23124,7.4103,0.07101,0.062495
p1s00125.jpg      ,0.099883,0.36677,0.13164,0.53896,1.2495,0.12131,0.24649,7.3946,0.05265,0.056745
p1s00126.jpg      ,0.1066,1.0086,0.086832,0.42893,0.87159,0.069626,0.12634,6.9218,0.10219,0.012043
p1s00127.jpg       ,0.083086,-2.8679,0.17399,0.49241,0.99945,0.10143,0.17569,7.2207,0.093946,0.0051198
p1s00128.jpg     ,0.10578,1.1942,0.15261,0.51174,1.6877,0.12517,0.20724,7.5599,0.10268,0.021059
p1s00129.jpg      ,0.096533,0.46225,0.11365,0.57853,1.4406,0.10635,0.24012,7.6241,0.09611,0.016
p1s00130.jpg      ,0.082731,0.90909,0.15572,0.58984,2.5734,0.1807,0.23839,7.5181,0.084446,0.023681
p1s00131.jpg      ,0.091657,0.73614,0.14471,0.5633,1.5611,0.14974,0.20181,7.2728,0.096004,0.0092042
p1s00132.jpg      ,0.098086,0.81243,0.19252,0.55269,1.2759,0.18918,0.20792,7.4603,0.092302,0.023298
p1s00133.jpg      ,0.10356,-2.3809,0.20988,0.53748,1.6624,0.16431,0.23572,7.4562,0.12994,0
p1s00134.jpg     ,0.090617,1.0523,0.24038,0.69984,2.6766,0.23415,0.24053,7.3252,0.097892,0.0076562
p1s00135.jpg     ,0.1286,1.5408,0.23027,0.42102,1.1093,0.20569,0.24984,7.6919,0.076798,0.078706
p1s00136.jpg     ,0.11947,2.5573,0.30732,0.45603,1.6342,0.20909,0.24296,7.6054,0.075787,0.060806
p1s00137.jpg      ,0.09036,0.58255,0.23271,0.60817,2.3255,0.18204,0.21509,7.3133,0.088973,0.01495
p1s00138.jpg      ,0.10932,0.91053,0.24816,0.63595,1.468,0.21495,0.26742,7.5463,0.12206,0.01771
p1s00139.jpg     ,0.11625,2.0228,0.27861,0.44563,1.2711,0.24295,0.27427,7.8279,0.082925,0.048844
p1s00140.jpg     ,0.097539,1.3817,0.17145,0.65047,1.6944,0.15254,0.23805,7.7086,0.064185,0.041167
p1s00141.jpg     ,0.094639,1.2702,0.14187,0.49486,1.1744,0.16408,0.21579,7.5042,0.055073,0.056302
p1s00142.jpg     ,0.099313,1.487,0.11248,0.51863,1.336,0.14213,0.19495,7.5829,0.051077,0.056063
p1s00143.jpg     ,0.10266,1.0694,0.30981,0.58922,1.3473,0.19802,0.18648,7.349,0.072323,0.045417
p1s00144.jpg      ,0.091517,-2.1205,0.17017,0.58736,1.7095,0.1215,0.27718,7.5646,0.079915,0.022802
p1s00145.jpg     ,0.11281,1.8385,0.21816,0.38653,1.4585,0.20257,0.1847,7.3968,0.0536,0.071712
p1s00146.jpg     ,0.090238,1.6532,0.17217,0.626,2.1937,0.13994,0.24983,7.6495,0.063808,0.037671
p1s00147.jpg       ,0.12302,0.65583,0.25013,0.50032,0.75554,0.21181,0.17238,7.1452,0.062604,0.070768
p1s00148.jpg     ,0.11538,1.0347,0.13474,0.51569,1.2886,0.14358,0.20736,7.6401,0.10283,0.033846
p1s00149.jpg      ,0.13213,1.3109,0.32827,0.40281,0.95806,0.20593,0.16774,7.1947,0.039825,0.10376
p1s00150.jpg      ,0.13669,1.0841,0.24498,0.40007,0.69585,0.19368,0.13573,7.0229,0.075865,0.073006
p1s00151.jpg     ,0.10651,1.7762,0.14941,0.60985,1.8706,0.1724,0.2174,7.3673,0.037504,0.074461
p1s00152.jpg      ,0.13319,1.0398,0.26888,0.40502,0.55247,0.16841,0.12942,6.9984,0.05041,0.10062
p1s00153.jpg      ,0.11482,0.81412,0.25541,0.51439,1.1659,0.20651,0.21184,7.3951,0.067094,0.059426
p1s00154.jpg      ,0.13096,1.1369,0.30575,0.42468,0.99362,0.2047,0.15453,7.2172,0.0662,0.073066
p1s00155.jpg     ,0.12308,2.2656,0.14266,0.38414,1.3792,0.11638,0.12974,7.0241,0.08655,0.049277
p1s00156.jpg     ,0.11702,1.4343,0.18118,0.41315,1.1432,0.14185,0.13863,7.0183,0.076525,0.051809
